Composition,
Date Added,2017-03-01
Formula,
Grain Size Description,<125.0um
Grain Size,(0.0 - 125.0)
Locality,"Fuertaventura, Canary Is, Spain"
Minimum Wavelength,300
Sample Name,JB1552a: Fuertaventura tephra <125 um
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,
References,
Resolution,4.0
Material class,Sediment
Sample Description,
Sample ID,BKR1JBF52A
Original Sample ID,JB-JLB-F52-A
Viewing Geometry,Unknown
Wavelength,Response
300.0,0.03371
305.0,0.03448
310.0,0.03555
315.0,0.03709
320.0,0.03878
325.0,0.04031
330.0,0.04179
335.0,0.04317
340.0,0.04457
345.0,0.04609
350.0,0.04689
355.0,0.04821
360.0,0.04965
365.0,0.05134
370.0,0.05332
375.0,0.05581
380.0,0.05801
385.0,0.0602
390.0,0.06281
395.0,0.06584
400.0,0.06941
405.0,0.07225
410.0,0.0752
415.0,0.07818
420.0,0.08181
425.0,0.08517
430.0,0.08923
435.0,0.09358
440.0,0.09801
445.0,0.10247
450.0,0.10658
455.0,0.11029
460.0,0.1137
465.0,0.1166
470.0,0.11961
475.0,0.12254
480.0,0.12589
485.0,0.12949
490.0,0.13374
495.0,0.13801
500.0,0.14332
505.0,0.1485
510.0,0.15389
515.0,0.15929
520.0,0.16485
525.0,0.17044
530.0,0.17685
535.0,0.1829
540.0,0.19014
545.0,0.19681
550.0,0.20416
555.0,0.21221
560.0,0.22068
565.0,0.22906
570.0,0.23691
575.0,0.2447
580.0,0.25226
585.0,0.25943
590.0,0.26609
595.0,0.27199
600.0,0.27723
605.0,0.2823
610.0,0.28693
615.0,0.2912
620.0,0.29548
625.0,0.29942
630.0,0.3027
635.0,0.30652
640.0,0.30961
645.0,0.31324
650.0,0.31647
655.0,0.31872
660.0,0.32298
665.0,0.32519
670.0,0.32797
675.0,0.3306
680.0,0.33337
685.0,0.3361
690.0,0.33837
695.0,0.34099
700.0,0.34323
705.0,0.34562
710.0,0.34828
715.0,0.35012
720.0,0.35268
725.0,0.35475
730.0,0.3569
735.0,0.35867
740.0,0.36009
745.0,0.36244
750.0,0.36354
755.0,0.36461
760.0,0.3657
765.0,0.36849
770.0,0.36905
775.0,0.37038
780.0,0.37121
785.0,0.37207
790.0,0.37295
795.0,0.37396
800.0,0.37358
805.0,0.37434
810.0,0.37461
815.0,0.37531
820.0,0.37594
825.0,0.3763
830.0,0.37575
835.0,0.37593
840.0,0.37628
845.0,0.37681
850.0,0.37741
855.0,0.37638
860.0,0.37667
865.0,0.37718
870.0,0.37708
875.0,0.37761
880.0,0.37728
885.0,0.37711
890.0,0.37698
895.0,0.37703
900.0,0.37666
905.0,0.37673
910.0,0.37676
915.0,0.37742
920.0,0.3774
