Composition,
Date Added,1997-08-22
Formula,
Grain Size Description,<0.0um
Grain Size,Unknown
Locality,"Allan Hills, Antarctica "
Minimum Wavelength,300
Sample Name,"ALH84001,271 face 1 "
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Orthopyroxenite
References,
Resolution,5.0
Material class,Meteorites
Sample Description,Face 1  
Sample ID,C1MT03
Original Sample ID,MT-JLB-003-1
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.05768
305.0,0.06053
310.0,0.06207
315.0,0.06411
320.0,0.06848
325.0,0.07118
330.0,0.07478
335.0,0.07897
340.0,0.08244
345.0,0.08617
350.0,0.091
355.0,0.09499
360.0,0.09953
365.0,0.10473
370.0,0.10833
375.0,0.11285
380.0,0.11743
385.0,0.1209
390.0,0.12473
395.0,0.12808
400.0,0.13209
405.0,0.1359
410.0,0.13773
415.0,0.14179
420.0,0.14447
425.0,0.14588
430.0,0.14743
435.0,0.1492
440.0,0.15045
445.0,0.15162
450.0,0.1532
455.0,0.15445
460.0,0.15638
465.0,0.15772
470.0,0.15934
475.0,0.1607
480.0,0.16214
485.0,0.16366
490.0,0.1652
495.0,0.1672
500.0,0.16865
505.0,0.16755
510.0,0.17121
515.0,0.17481
520.0,0.17717
525.0,0.17934
530.0,0.18044
535.0,0.18155
540.0,0.18195
545.0,0.18169
550.0,0.18254
555.0,0.18381
560.0,0.18538
565.0,0.18682
570.0,0.18745
575.0,0.18798
580.0,0.18889
585.0,0.18952
590.0,0.19001
595.0,0.19022
600.0,0.19047
605.0,0.19098
610.0,0.19094
615.0,0.19169
620.0,0.19188
625.0,0.1918
630.0,0.19213
635.0,0.19201
640.0,0.19253
645.0,0.19217
650.0,0.19225
655.0,0.19177
660.0,0.19171
665.0,0.19132
670.0,0.1914
675.0,0.19115
680.0,0.19208
685.0,0.19122
690.0,0.19072
695.0,0.18998
700.0,0.18974
705.0,0.1892
710.0,0.1893
715.0,0.18837
720.0,0.18813
725.0,0.18721
730.0,0.18564
735.0,0.18414
740.0,0.18288
745.0,0.18143
750.0,0.17957
755.0,0.17739
760.0,0.17253
765.0,0.16979
770.0,0.16624
775.0,0.16308
780.0,0.15879
785.0,0.15483
790.0,0.15049
795.0,0.14595
800.0,0.14078
805.0,0.13604
810.0,0.13146
815.0,0.12724
820.0,0.12274
825.0,0.11866
830.0,0.11439
835.0,0.11083
840.0,0.10715
845.0,0.10359
850.0,0.10099
855.0,0.09766
860.0,0.09535
865.0,0.093
870.0,0.09064
875.0,0.08834
880.0,0.08644
885.0,0.08469
890.0,0.08298
895.0,0.08147
900.0,0.08007
905.0,0.07947
910.0,0.07829
915.0,0.07787
920.0,0.07746
925.0,0.07708
930.0,0.07668
935.0,0.077
940.0,0.07715
945.0,0.07751
950.0,0.07803
955.0,0.07874
960.0,0.07972
965.0,0.08046
970.0,0.08201
975.0,0.08338
980.0,0.08467
985.0,0.08666
990.0,0.08849
995.0,0.09066
1000.0,0.09274
1005.0,0.09521
1010.0,0.09752
1015.0,0.10019
1020.0,0.103
1025.0,0.10572
1030.0,0.10851
1035.0,0.11154
1040.0,0.11407
1045.0,0.11677
1050.0,0.11998
1055.0,0.12234
1060.0,0.12485
1065.0,0.12715
1070.0,0.12933
1075.0,0.13136
1080.0,0.13319
1085.0,0.13491
1090.0,0.13645
1095.0,0.13821
1100.0,0.13943
1105.0,0.14065
1110.0,0.14165
1115.0,0.1427
1120.0,0.14383
1125.0,0.14428
1130.0,0.14502
1135.0,0.14538
1140.0,0.14615
1145.0,0.1465
1150.0,0.14699
1155.0,0.14771
1160.0,0.1478
1165.0,0.14813
1170.0,0.14827
1175.0,0.14885
1180.0,0.14954
1185.0,0.14928
1190.0,0.14985
1195.0,0.15039
1200.0,0.15071
1205.0,0.15134
1210.0,0.1516
1215.0,0.15227
1220.0,0.15254
1225.0,0.1527
1230.0,0.1527
1235.0,0.15301
1240.0,0.15347
1245.0,0.15353
1250.0,0.15371
1255.0,0.1543
1260.0,0.15404
1265.0,0.15474
1270.0,0.15488
1275.0,0.15487
1280.0,0.15519
1285.0,0.15562
1290.0,0.15592
1295.0,0.15634
1300.0,0.15669
1305.0,0.15673
1310.0,0.15713
1315.0,0.15749
1320.0,0.15778
1325.0,0.15833
1330.0,0.1582
1335.0,0.1587
1340.0,0.15884
1345.0,0.15887
1350.0,0.15875
1355.0,0.15877
1360.0,0.15857
1365.0,0.15924
1370.0,0.15911
1375.0,0.15946
1380.0,0.15888
1385.0,0.15985
1390.0,0.15946
1395.0,0.15874
1400.0,0.1583
1405.0,0.15803
1410.0,0.15847
1415.0,0.15809
1420.0,0.15778
1425.0,0.15766
1430.0,0.15762
1435.0,0.15704
1440.0,0.15648
1445.0,0.15595
1450.0,0.15547
1455.0,0.15519
1460.0,0.15439
1465.0,0.15396
1470.0,0.15306
1475.0,0.15264
