Composition,
Date Added,2009-01-23
Formula,
Grain Size Description,<125.0um
Grain Size,"(45.0, 125.0)"
Locality,
Minimum Wavelength,280
Sample Name,B137 bulk 45-125 um
Maximum Wavelength,25050
Database of Origin,RELAB
Other Information,Feldspar Plagioclase
References,
Resolution,4.0
Material class,Mineral
Sample Description,"Plagioclase series with inclusions of exolved magnetite (Student, Cosmochemistry)"
Sample ID,BKR1PL081
Original Sample ID,PL-MDD-081
Viewing Geometry,unknown
Wavelength,Response
280.0,0.22415
285.0,0.24969
290.0,0.30233
295.0,0.33065
300.0,0.36654
305.0,0.39939
310.0,0.42686
315.0,0.44697
320.0,0.46128
325.0,0.47546
330.0,0.48436
335.0,0.49116
340.0,0.49661
345.0,0.49877
350.0,0.50423
355.0,0.50846
360.0,0.51061
365.0,0.51594
370.0,0.51911
375.0,0.52005
380.0,0.52366
385.0,0.53212
390.0,0.53893
395.0,0.54379
400.0,0.54876
405.0,0.55294
410.0,0.55625
415.0,0.55952
420.0,0.56297
425.0,0.56769
430.0,0.57351
435.0,0.57593
440.0,0.57934
445.0,0.58243
450.0,0.58627
455.0,0.58956
460.0,0.59198
465.0,0.59457
470.0,0.5969
475.0,0.59879
480.0,0.60029
485.0,0.60226
490.0,0.60535
495.0,0.6068
500.0,0.60921
505.0,0.61118
510.0,0.61267
515.0,0.61481
520.0,0.61744
525.0,0.61939
530.0,0.6213
535.0,0.62392
540.0,0.6261
545.0,0.62669
550.0,0.62961
555.0,0.63201
560.0,0.63408
565.0,0.63645
570.0,0.6383
575.0,0.64036
580.0,0.64167
585.0,0.64436
590.0,0.64699
595.0,0.64869
600.0,0.64956
605.0,0.65292
610.0,0.65502
615.0,0.65689
620.0,0.65901
625.0,0.66093
630.0,0.66165
635.0,0.66485
640.0,0.66725
645.0,0.6696
650.0,0.67097
655.0,0.67271
660.0,0.67481
665.0,0.67697
670.0,0.67863
675.0,0.68019
680.0,0.68248
685.0,0.68397
690.0,0.68489
695.0,0.6852
700.0,0.68775
705.0,0.68821
710.0,0.69053
715.0,0.69123
720.0,0.69248
725.0,0.69299
730.0,0.69404
735.0,0.69449
740.0,0.69636
745.0,0.69743
750.0,0.69743
755.0,0.69848
760.0,0.69915
765.0,0.6999
770.0,0.7014
775.0,0.70216
780.0,0.70156
785.0,0.70255
790.0,0.70264
795.0,0.70298
800.0,0.70409
805.0,0.70373
810.0,0.70429
815.0,0.70568
820.0,0.7045
825.0,0.70542
830.0,0.70584
835.0,0.7057
840.0,0.70712
845.0,0.70809
850.0,0.7079
855.0,0.70827
860.0,0.70724
865.0,0.70892
870.0,0.70777
875.0,0.70934
880.0,0.7092
885.0,0.70964
890.0,0.7083
895.0,0.71021
900.0,0.70903
905.0,0.70997
910.0,0.70954
915.0,0.70897
920.0,0.71037
925.0,0.71028
930.0,0.70977
935.0,0.70977
940.0,0.70976
945.0,0.70927
950.0,0.7093
955.0,0.70922
960.0,0.70822
965.0,0.70911
970.0,0.70874
975.0,0.70889
980.0,0.70909
985.0,0.71037
990.0,0.70905
995.0,0.7089
1000.0,0.70913
1005.0,0.70834
1010.0,0.70908
1015.0,0.70851
1020.0,0.70852
1025.0,0.70841
1030.0,0.708
1035.0,0.70901
1040.0,0.70834
1045.0,0.70775
1050.0,0.70798
1050.3,0.708
1050.5,0.70794
1050.7,0.70789
1050.9,0.70793
1051.1,0.7079
1051.3,0.70779
1051.5,0.70782
