Composition,
Date Added,2014-08-26
Formula,
Grain Size Description,<125.0um
Grain Size,0.0 - 125.0
Locality,
Minimum Wavelength,300
Sample Name,D. McCarty S009-009
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,
Sample ID,BKR1JBF16
Original Sample ID,JB-JLB-F16
Viewing Geometry,
Wavelength,Response
300.0,83.25
305.0,82.48
310.0,82.24
315.0,81.76
320.0,80.64
325.0,79.86
330.0,79.21
335.0,78.42
340.0,78.26
345.0,77.92
350.0,75.68
355.0,74.61
360.0,73.76
365.0,73.25
370.0,72.93
375.0,72.68
380.0,73.0
385.0,73.11
390.0,73.25
395.0,73.39
400.0,75.27
405.0,75.63
410.0,76.8
415.0,78.73
420.0,81.34
425.0,83.6
430.0,87.63
435.0,92.37
440.0,97.48
445.0,102.95
450.0,109.51
455.0,115.7
460.0,122.41
465.0,128.62
470.0,135.29
475.0,140.31
480.0,145.4
485.0,150.57
490.0,155.42
495.0,159.72
500.0,163.65
505.0,168.04
510.0,172.35
515.0,176.88
520.0,180.69
525.0,185.07
530.0,190.35
535.0,195.91
540.0,202.11
545.0,208.58
550.0,215.2
555.0,221.42
560.0,227.92
565.0,234.07
570.0,238.9
575.0,242.95
580.0,247.17
585.0,249.53
590.0,251.66
595.0,254.34
600.0,256.24
605.0,258.53
610.0,260.45
615.0,262.3
620.0,264.59
625.0,266.37
630.0,267.97
635.0,271.2
640.0,274.89
645.0,278.15
650.0,282.55
655.0,286.5
660.0,291.25
665.0,294.45
670.0,298.27
675.0,301.66
680.0,304.94
685.0,307.1
690.0,308.23
695.0,308.71
700.0,309.78
705.0,310.95
710.0,311.7
715.0,312.32
720.0,312.55
725.0,313.12
730.0,314.53
735.0,315.88
740.0,316.41
745.0,318.71
750.0,319.33
755.0,321.44
760.0,323.65
765.0,325.65
770.0,328.06
775.0,330.34
780.0,332.27
785.0,334.87
790.0,336.97
795.0,340.77
800.0,343.06
805.0,346.02
810.0,349.26
815.0,352.31
820.0,355.32
825.0,357.72
830.0,360.93
835.0,363.2
840.0,365.84
845.0,368.8
850.0,371.31
855.0,371.55
860.0,372.85
865.0,376.4
870.0,377.61
875.0,379.89
880.0,382.72
885.0,384.12
890.0,388.36
895.0,389.96
900.0,394.54
905.0,396.34
910.0,397.41
915.0,400.52
920.0,404.2
925.0,406.08
930.0,408.76
935.0,412.02
940.0,414.9
945.0,417.18
950.0,420.72
955.0,421.66
960.0,424.57
965.0,427.25
970.0,430.72
975.0,433.09
980.0,436.66
985.0,439.1
990.0,442.23
995.0,444.13
1000.0,447.29
1005.0,450.43
1010.0,453.21
1015.0,456.38
1020.0,458.4
1025.0,461.14
1030.0,463.0
1035.0,466.82
1040.0,468.87
1045.0,472.34
1050.0,473.76
1055.0,476.84
1060.0,479.46
1065.0,482.03
1070.0,484.85
1075.0,487.48
1080.0,490.42
1085.0,492.67
1090.0,494.81
1095.0,497.62
1100.0,499.56
1105.0,500.58
1110.0,503.95
1115.0,507.14
1120.0,510.03
1125.0,511.27
1130.0,514.35
1135.0,516.69
1140.0,518.6
1145.0,520.01
1150.0,521.45
1155.0,522.94
1160.0,525.72
1165.0,528.49
1170.0,531.03
1175.0,532.99
1180.0,535.28
1185.0,538.36
1190.0,540.41
1195.0,542.59
1200.0,545.68
1205.0,547.7
1210.0,549.76
1215.0,551.68
1220.0,554.41
1225.0,556.28
1230.0,558.83
1235.0,561.61
1240.0,563.11
1245.0,564.7
1250.0,566.04
1255.0,568.52
1260.0,570.66
1265.0,573.76
1270.0,576.08
1275.0,577.0
1280.0,578.93
1285.0,580.03
1290.0,581.59
1295.0,582.93
1300.0,584.84
1300.3,584.71
1300.5,584.78
1300.6,584.93
1300.8,584.9
1301.0,584.96
1301.1,585.15
1301.3,585.22
1301.4,585.38
1301.6,585.29
1301.8,585.28
1301.9,585.33
1302.1,585.25
1302.3,585.1
1302.4,585.16
1302.6,585.43
1302.8,585.46
1302.9,585.46
1303.1,585.63
1303.3,585.72
1303.4,585.75
1303.6,585.81
1303.7,586.04
1303.9,586.1
1304.1,585.99
1304.2,586.26
1304.4,586.52
1304.6,586.41
1304.7,586.23
1304.9,586.07
1305.1,586.17
1305.2,586.11
1305.4,586.27
1305.5,586.62
1305.7,586.62
1305.9,586.66
1306.0,586.73
1306.2,586.52
1306.4,586.34
1306.5,586.51
1306.7,586.73
1306.9,586.77
1307.0,586.71
1307.2,586.88
1307.3,586.92
1307.5,587.06
1307.7,587.06
1307.8,587.02
1308.0,587.1
1308.2,587.28
1308.3,587.41
1308.5,587.41
1308.7,587.43
1308.8,587.52
1309.0,587.55
1309.2,587.35
1309.3,587.3
1309.5,587.42
1309.7,587.54
1309.8,587.39
1310.0,587.3
1310.2,587.53
1310.3,587.79
1310.5,587.89
1310.7,587.87
1310.8,588.05
1311.0,587.94
1311.2,587.76
1311.3,587.79
1311.5,588.1
1311.7,588.38
1311.8,588.43
1312.0,588.34
1312.2,588.29
1312.3,588.2
