Composition,
Date Added,2015-07-17
Formula,
Grain Size Description,<150.0um
Grain Size,"(0.0, 150.0)"
Locality,"Apollo 16 site, Moon"
Minimum Wavelength,300
Sample Name,"62281,73 <150 um"
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,Bulk
References,
Resolution,4.0
Material class,Mixture
Sample Description,
Sample ID,BKR1LS107
Original Sample ID,LS-GJT-107
Viewing Geometry,unknown
Wavelength,Response
300.0,0.09137
305.0,0.09211
310.0,0.09274
315.0,0.09337
320.0,0.09469
325.0,0.0959
330.0,0.09753
335.0,0.09939
340.0,0.10139
345.0,0.10293
350.0,0.10452
355.0,0.10601
360.0,0.10755
365.0,0.10915
370.0,0.11077
375.0,0.1124
380.0,0.11418
385.0,0.11596
390.0,0.11768
395.0,0.11942
400.0,0.12123
405.0,0.12258
410.0,0.12397
415.0,0.12532
420.0,0.12655
425.0,0.12822
430.0,0.12986
435.0,0.13143
440.0,0.13286
445.0,0.13452
450.0,0.13541
455.0,0.1371
460.0,0.13845
465.0,0.13996
470.0,0.14129
475.0,0.14303
480.0,0.14389
485.0,0.14531
490.0,0.14639
495.0,0.14802
500.0,0.14936
505.0,0.15092
510.0,0.15203
515.0,0.15343
520.0,0.15447
525.0,0.15547
530.0,0.15695
535.0,0.15879
540.0,0.15928
545.0,0.16109
550.0,0.16203
555.0,0.16299
560.0,0.16416
565.0,0.16529
570.0,0.16655
575.0,0.16756
580.0,0.16839
585.0,0.16951
590.0,0.17061
595.0,0.17177
600.0,0.1728
605.0,0.17407
610.0,0.17502
615.0,0.17599
620.0,0.17688
625.0,0.17794
630.0,0.17887
635.0,0.1801
640.0,0.18105
645.0,0.18249
650.0,0.18278
655.0,0.18396
660.0,0.18509
665.0,0.18584
670.0,0.18666
675.0,0.18797
680.0,0.18893
685.0,0.19007
690.0,0.19174
695.0,0.19245
700.0,0.19224
705.0,0.19404
710.0,0.19498
715.0,0.19593
720.0,0.197
725.0,0.1975
730.0,0.19817
735.0,0.19887
740.0,0.19955
745.0,0.20045
750.0,0.20147
755.0,0.20249
760.0,0.20305
765.0,0.20353
770.0,0.20427
775.0,0.20505
780.0,0.20619
785.0,0.20621
790.0,0.20666
795.0,0.20759
800.0,0.20807
805.0,0.20824
810.0,0.20876
815.0,0.20948
820.0,0.20971
825.0,0.21014
830.0,0.21079
835.0,0.21112
840.0,0.21166
845.0,0.21239
850.0,0.21259
855.0,0.21324
860.0,0.21358
865.0,0.21401
870.0,0.21437
875.0,0.21467
880.0,0.21503
885.0,0.21531
890.0,0.21564
895.0,0.21577
900.0,0.21621
905.0,0.21663
910.0,0.21701
915.0,0.21752
920.0,0.21812
925.0,0.2187
930.0,0.21929
935.0,0.22005
940.0,0.22079
945.0,0.22133
950.0,0.22178
955.0,0.22219
960.0,0.22276
965.0,0.22316
970.0,0.22398
975.0,0.22479
980.0,0.22555
985.0,0.22624
990.0,0.22695
995.0,0.22756
1000.0,0.22785
1005.0,0.22837
1010.0,0.22981
1015.0,0.23065
1020.0,0.23145
1025.0,0.23203
1030.0,0.23244
1035.0,0.23282
1040.0,0.23314
1045.0,0.23372
1050.0,0.23447
1055.0,0.23518
1060.0,0.236
1065.0,0.23691
1070.0,0.23803
1075.0,0.23883
1080.0,0.23932
1085.0,0.24042
1090.0,0.24042
1095.0,0.24098
1100.0,0.24259
1105.0,0.24315
1110.0,0.24386
1115.0,0.2451
1120.0,0.24612
1125.0,0.24606
1130.0,0.24699
1135.0,0.24742
1140.0,0.24818
1145.0,0.24869
1150.0,0.24956
1155.0,0.25079
1160.0,0.25097
1165.0,0.25146
1170.0,0.25277
1175.0,0.25326
1180.0,0.2538
1185.0,0.25538
1190.0,0.25581
1195.0,0.25545
1200.0,0.25637
1205.0,0.25765
1210.0,0.25818
1215.0,0.25851
1220.0,0.25973
1225.0,0.26084
1230.0,0.26142
1235.0,0.26182
1240.0,0.26183
1245.0,0.26199
1250.0,0.26321
1255.0,0.2631
1260.0,0.26497
1265.0,0.26527
1270.0,0.26545
1275.0,0.26595
1280.0,0.26714
1285.0,0.26756
1290.0,0.26961
1295.0,0.27019
1300.0,0.26906
1305.0,0.26946
1310.0,0.27094
1315.0,0.27206
1320.0,0.27227
1325.0,0.27306
1330.0,0.27365
1335.0,0.27395
1340.0,0.27518
1345.0,0.27552
1350.0,0.27713
1355.0,0.27749
1360.0,0.27831
1365.0,0.27975
1370.0,0.27903
1375.0,0.27924
1380.0,0.27987
1385.0,0.28163
1390.0,0.28201
1395.0,0.28272
1400.0,0.28389
1405.0,0.28465
1410.0,0.28517
1415.0,0.28606
1420.0,0.28705
1425.0,0.28819
1430.0,0.28743
1435.0,0.28894
1440.0,0.28976
1445.0,0.28966
1450.0,0.29051
1455.0,0.29112
1460.0,0.29076
1465.0,0.29296
1470.0,0.293
1475.0,0.29373
1480.0,0.29441
1485.0,0.29448
1490.0,0.29627
1495.0,0.29614
1500.0,0.29709
1505.0,0.2987
1510.0,0.29836
1515.0,0.2982
1520.0,0.29887
1525.0,0.30009
1530.0,0.29952
1535.0,0.29935
1540.0,0.30105
1545.0,0.30134
1550.0,0.30154
1555.0,0.30254
1560.0,0.3029
1565.0,0.30352
1570.0,0.30414
1575.0,0.30463
1580.0,0.30488
1585.0,0.30546
1590.0,0.30581
1595.0,0.30624
1600.0,0.30695
1605.0,0.30774
1610.0,0.30858
1615.0,0.30931
1620.0,0.3094
1625.0,0.30964
1630.0,0.30977
1635.0,0.31024
1640.0,0.31039
1645.0,0.31073
1650.0,0.31109
1655.0,0.31082
1660.0,0.31129
1665.0,0.31149
1670.0,0.312
1675.0,0.31225
1680.0,0.31279
1685.0,0.3131
1690.0,0.31373
1695.0,0.31434
1700.0,0.31502
1705.0,0.31468
1710.0,0.31588
1715.0,0.31657
1720.0,0.31664
1725.0,0.31733
1730.0,0.31662
1735.0,0.31715
1740.0,0.31678
1745.0,0.31796
1750.0,0.31851
1755.0,0.31899
1760.0,0.3192
1765.0,0.3187
1770.0,0.32032
1775.0,0.32073
1780.0,0.3208
1785.0,0.32197
1790.0,0.32196
1795.0,0.32211
1800.0,0.32124
1805.0,0.32101
1810.0,0.32138
1815.0,0.32191
1820.0,0.32152
1825.0,0.32234
1830.0,0.32291
1835.0,0.3236
1840.0,0.32423
1845.0,0.3248
1850.0,0.3254
1855.0,0.32542
1860.0,0.32552
1865.0,0.32562
1870.0,0.32582
1875.0,0.32608
1880.0,0.32682
1885.0,0.32705
1890.0,0.32686
1895.0,0.32832
1900.0,0.32784
1905.0,0.32868
1910.0,0.32869
1915.0,0.32906
1920.0,0.32881
1925.0,0.33
1930.0,0.33014
1935.0,0.32998
1940.0,0.33068
1945.0,0.3302
1950.0,0.3306
1955.0,0.33081
1960.0,0.33119
1965.0,0.33255
1970.0,0.33288
1975.0,0.33312
1980.0,0.33434
1985.0,0.33518
1990.0,0.33455
1995.0,0.33468
2000.0,0.33446
2005.0,0.33439
2010.0,0.33494
2015.0,0.33522
2020.0,0.33608
2025.0,0.33696
2030.0,0.33724
2035.0,0.33683
2040.0,0.33691
2045.0,0.33692
2050.0,0.33769
2055.0,0.33819
2060.0,0.33916
2065.0,0.3385
2070.0,0.33978
2075.0,0.34055
2080.0,0.3408
2085.0,0.34039
2090.0,0.33937
2095.0,0.34128
2100.0,0.34207
2105.0,0.34355
2110.0,0.34343
2115.0,0.34435
2120.0,0.34515
2125.0,0.34514
2130.0,0.3449
2135.0,0.34575
2140.0,0.34606
2145.0,0.34719
2150.0,0.34761
2155.0,0.34759
2160.0,0.34775
2165.0,0.34873
2170.0,0.3496
2175.0,0.34991
2180.0,0.35039
2185.0,0.35136
2190.0,0.35182
2195.0,0.35256
2200.0,0.3531
2205.0,0.35436
2210.0,0.35403
2215.0,0.35412
2220.0,0.35449
2225.0,0.35436
2230.0,0.35424
2235.0,0.35399
2240.0,0.35549
2245.0,0.35727
2250.0,0.35688
2255.0,0.35778
2260.0,0.35736
2265.0,0.35834
2270.0,0.35906
2275.0,0.36023
2280.0,0.36184
2285.0,0.36178
2290.0,0.36115
2295.0,0.36203
2300.0,0.36178
2305.0,0.36205
2310.0,0.36191
2315.0,0.36187
2320.0,0.363
2325.0,0.36337
2330.0,0.36371
2335.0,0.36506
2340.0,0.36561
2345.0,0.36574
