Composition,
Date Added,1996-08-13
Formula,
Grain Size Description,<45.0um
Grain Size,25.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,"64455,128"
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,Wet sieved with ethanol.  
Sample ID,CCLS97
Original Sample ID,LS-CMP-097-C
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,74.79
305.0,78.09
310.0,78.15
315.0,80.91
320.0,84.12
325.0,87.7
330.0,90.94
335.0,95.76
340.0,99.21
345.0,102.72
350.0,107.17
355.0,110.52
360.0,114.34
365.0,117.79
370.0,120.9
375.0,124.2
380.0,127.71
385.0,130.62
390.0,133.86
395.0,136.64
400.0,139.64
405.0,143.66
410.0,145.67
415.0,148.23
420.0,150.51
425.0,152.51
430.0,154.15
435.0,156.01
440.0,158.1
445.0,160.24
450.0,161.85
455.0,163.72
460.0,165.64
465.0,167.37
470.0,169.77
475.0,171.43
480.0,173.17
485.0,174.83
490.0,176.21
495.0,177.75
500.0,179.52
505.0,180.95
510.0,182.73
515.0,184.52
520.0,185.66
525.0,187.4
530.0,188.78
535.0,190.16
540.0,191.55
545.0,192.93
550.0,194.72
555.0,195.92
560.0,197.21
565.0,197.9
570.0,199.08
575.0,200.52
580.0,201.04
585.0,201.04
590.0,202.39
595.0,202.37
600.0,202.02
605.0,202.28
610.0,202.93
615.0,203.32
620.0,204.09
625.0,204.98
630.0,204.88
635.0,205.89
640.0,205.14
645.0,205.59
650.0,205.41
655.0,205.44
660.0,205.62
665.0,205.14
670.0,205.6
675.0,204.73
680.0,205.33
685.0,205.1
690.0,204.86
695.0,204.63
700.0,204.75
705.0,204.38
710.0,204.02
715.0,203.67
720.0,203.01
725.0,202.58
730.0,202.44
735.0,201.83
740.0,201.32
745.0,200.66
750.0,200.15
755.0,199.14
760.0,199.09
765.0,198.2
770.0,198.03
775.0,197.29
780.0,196.01
785.0,195.72
790.0,194.1
795.0,192.52
800.0,191.06
805.0,189.81
810.0,189.11
815.0,187.98
820.0,186.74
825.0,185.88
830.0,184.63
835.0,183.59
840.0,182.41
845.0,181.18
850.0,180.08
855.0,179.45
860.0,178.83
865.0,176.73
870.0,176.67
875.0,175.22
880.0,174.11
885.0,173.43
890.0,172.25
895.0,171.39
900.0,170.75
905.0,169.88
910.0,169.29
915.0,168.69
920.0,168.4
925.0,167.89
930.0,167.69
935.0,167.39
940.0,167.29
945.0,166.51
950.0,166.5
955.0,166.56
960.0,166.58
965.0,166.61
970.0,166.73
975.0,166.67
980.0,166.83
985.0,167.2
990.0,167.11
995.0,167.01
