Composition,
Date Added,2005-04-29
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,"Wo 2.5 En 39 Fs 58.5 (E45-100, 95% hyp, 2-5% cpx) <45 um"
Maximum Wavelength,49859
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,Grain size unknown.  PGG.  From Turnock.
Sample ID,BKR1DL014A
Original Sample ID,DL-CMP-014-A
Viewing Geometry,
Wavelength,Response
300.0,33.91
305.0,34.63
310.0,33.63
315.0,31.76
320.0,31.55
325.0,33.56
330.0,34.66
335.0,36.38
340.0,38.78
345.0,41.99
350.0,45.63
355.0,51.23
360.0,58.7
365.0,68.16
370.0,78.84
375.0,89.85
380.0,100.69
385.0,110.33
390.0,119.36
395.0,127.56
400.0,136.19
405.0,143.65
410.0,150.19
415.0,156.33
420.0,160.81
425.0,161.29
430.0,162.29
435.0,166.43
440.0,169.05
445.0,170.11
450.0,171.5
455.0,173.83
460.0,177.3
465.0,179.1
470.0,180.4
475.0,181.94
480.0,182.04
485.0,183.54
490.0,186.97
495.0,192.89
500.0,193.23
505.0,180.54
510.0,189.08
515.0,201.0
520.0,207.56
525.0,210.25
530.0,211.76
535.0,211.95
540.0,210.43
545.0,207.58
550.0,207.33
555.0,211.01
560.0,214.83
565.0,217.73
570.0,219.47
575.0,220.95
580.0,221.93
585.0,222.77
590.0,223.62
595.0,223.84
600.0,224.54
605.0,224.8
610.0,224.73
615.0,224.99
620.0,224.71
625.0,225.36
630.0,225.7
635.0,225.49
640.0,225.61
645.0,225.63
650.0,225.38
655.0,224.96
660.0,225.08
665.0,224.9
670.0,224.2
675.0,224.04
680.0,223.93
685.0,223.33
690.0,223.11
695.0,222.87
700.0,222.13
705.0,221.51
710.0,221.05
715.0,220.17
720.0,219.1
725.0,220.11
730.0,218.57
735.0,217.29
740.0,215.27
745.0,212.94
750.0,210.52
755.0,207.32
760.0,203.92
765.0,199.68
770.0,195.57
775.0,190.49
780.0,185.34
785.0,179.53
790.0,173.55
795.0,166.81
800.0,160.76
805.0,152.73
810.0,145.46
815.0,137.68
820.0,130.34
825.0,123.43
830.0,116.06
835.0,109.71
840.0,103.14
845.0,97.41
850.0,92.21
855.0,86.95
860.0,82.1
865.0,78.57
870.0,74.25
875.0,71.0
880.0,67.65
885.0,65.14
890.0,62.85
895.0,60.92
900.0,59.19
905.0,58.15
910.0,56.82
915.0,55.76
920.0,55.1
925.0,54.58
930.0,54.45
935.0,53.85
940.0,54.21
945.0,54.51
950.0,54.83
955.0,54.99
960.0,55.84
965.0,57.19
970.0,58.68
975.0,60.32
980.0,62.74
985.0,64.89
990.0,67.69
995.0,70.63
1000.0,74.15
1005.0,78.17
1010.0,82.64
1015.0,87.09
1020.0,92.61
1025.0,98.01
1030.0,104.0
1035.0,109.78
1040.0,116.46
1045.0,122.8
1050.0,129.61
1055.0,135.98
1060.0,142.4
1065.0,148.06
1070.0,153.4
