Composition,
Date Added,1998-11-23
Formula,
Grain Size Description,<125.0um
Grain Size,"(0.0, 125.0)"
Locality,
Minimum Wavelength,300
Sample Name,Green basalt
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Basalt
References,
Resolution,5.0
Material class,Rock
Sample Description,Green basalt rock ground and dry-sieved.  
Sample ID,C1JB357
Original Sample ID,JB-JLB-357
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.09606
305.0,0.10021
310.0,0.10565
315.0,0.11025
320.0,0.118
325.0,0.12774
330.0,0.13884
335.0,0.14971
340.0,0.16258
345.0,0.17701
350.0,0.19203
355.0,0.20538
360.0,0.21823
365.0,0.22941
370.0,0.23966
375.0,0.24929
380.0,0.25846
385.0,0.2668
390.0,0.27746
395.0,0.28638
400.0,0.2953
405.0,0.30476
410.0,0.3149
415.0,0.32352
420.0,0.32868
425.0,0.33588
430.0,0.34106
435.0,0.34939
440.0,0.35592
445.0,0.3624
450.0,0.36488
455.0,0.37019
460.0,0.37557
465.0,0.3814
470.0,0.38425
475.0,0.39066
480.0,0.39691
485.0,0.40184
490.0,0.4073
495.0,0.41394
500.0,0.42328
505.0,0.43292
510.0,0.44182
515.0,0.45024
520.0,0.45714
525.0,0.4644
530.0,0.47193
535.0,0.47908
540.0,0.48427
545.0,0.48999
550.0,0.49476
555.0,0.49923
560.0,0.50235
565.0,0.50574
570.0,0.50654
575.0,0.50842
580.0,0.50929
585.0,0.50865
590.0,0.50843
595.0,0.50798
600.0,0.50699
605.0,0.50591
610.0,0.50444
615.0,0.50325
620.0,0.50145
625.0,0.49963
630.0,0.49852
635.0,0.49735
640.0,0.49812
645.0,0.4988
650.0,0.50024
655.0,0.50099
660.0,0.5024
665.0,0.50348
670.0,0.50529
675.0,0.50687
680.0,0.50874
685.0,0.50785
690.0,0.50638
695.0,0.50603
700.0,0.50586
705.0,0.50585
710.0,0.50554
715.0,0.50554
720.0,0.50399
725.0,0.50235
730.0,0.5001
735.0,0.49793
740.0,0.4937
745.0,0.49067
750.0,0.48622
755.0,0.48134
760.0,0.47716
765.0,0.47159
770.0,0.46674
775.0,0.46082
