Composition,
Date Added,2003-10-14
Formula,
Grain Size Description,<125.0um
Grain Size,"(45.0, 125.0)"
Locality,"Thorolfsfell Ridge, Iceland "
Minimum Wavelength,320
Sample Name,Palagonitic Tuff 45-125 um
Maximum Wavelength,24924
Database of Origin,RELAB
Other Information,Palagonitic Tuff
References,
Resolution,4.0
Material class,Rock
Sample Description,
Sample ID,BKR1JB501C
Original Sample ID,JB-JLB-501-C
Viewing Geometry,unknown
Wavelength,Response
320.0,0.01734
325.0,0.01939
330.0,0.01889
335.0,0.0195
340.0,0.02039
345.0,0.02161
350.0,0.02287
355.0,0.02397
360.0,0.02492
365.0,0.02612
370.0,0.02773
375.0,0.02939
380.0,0.03158
385.0,0.03336
390.0,0.03464
395.0,0.03691
400.0,0.03829
405.0,0.04015
410.0,0.04161
415.0,0.04353
420.0,0.04553
425.0,0.04784
430.0,0.05037
435.0,0.05289
440.0,0.05474
445.0,0.05657
450.0,0.05793
455.0,0.05938
460.0,0.06053
465.0,0.06203
470.0,0.06298
475.0,0.06475
480.0,0.06735
485.0,0.06965
490.0,0.07162
495.0,0.07422
500.0,0.07669
505.0,0.07955
510.0,0.0819
515.0,0.08465
520.0,0.08656
525.0,0.08905
530.0,0.09077
535.0,0.09301
540.0,0.09463
545.0,0.09674
550.0,0.09944
555.0,0.10135
560.0,0.10377
565.0,0.10561
570.0,0.10671
575.0,0.10844
580.0,0.10977
585.0,0.11123
590.0,0.1124
595.0,0.11376
600.0,0.11425
605.0,0.11559
610.0,0.11669
615.0,0.11768
620.0,0.11808
625.0,0.11867
630.0,0.11898
635.0,0.11934
640.0,0.11986
645.0,0.12049
650.0,0.12113
655.0,0.12195
660.0,0.12272
665.0,0.12321
670.0,0.12352
675.0,0.12372
680.0,0.12405
685.0,0.12433
690.0,0.12434
695.0,0.1244
700.0,0.12425
705.0,0.12387
710.0,0.1237
715.0,0.1236
720.0,0.12346
725.0,0.12346
730.0,0.12333
735.0,0.12293
740.0,0.12271
745.0,0.12245
750.0,0.12224
755.0,0.12211
760.0,0.12193
765.0,0.12158
770.0,0.12095
775.0,0.12021
780.0,0.11947
785.0,0.11871
790.0,0.11818
795.0,0.1179
800.0,0.11813
805.0,0.11748
810.0,0.11703
815.0,0.11649
820.0,0.11594
825.0,0.11542
830.0,0.11483
835.0,0.11418
840.0,0.11354
845.0,0.1129
850.0,0.11216
855.0,0.11156
860.0,0.1109
865.0,0.11016
870.0,0.1095
875.0,0.10895
880.0,0.1082
885.0,0.10747
890.0,0.10697
895.0,0.10639
900.0,0.10581
905.0,0.1053
910.0,0.10475
915.0,0.10424
920.0,0.10379
925.0,0.10334
930.0,0.10289
935.0,0.10237
940.0,0.10192
945.0,0.10139
950.0,0.10094
955.0,0.10052
960.0,0.10022
965.0,0.09984
970.0,0.0996
975.0,0.09927
980.0,0.09894
985.0,0.09875
990.0,0.09844
995.0,0.09813
1000.0,0.09794
1005.0,0.09778
1010.0,0.09757
1015.0,0.09752
1020.0,0.09737
1025.0,0.09718
1030.0,0.09711
1035.0,0.09709
1040.0,0.0971
1045.0,0.09718
1050.0,0.09728
1055.0,0.09729
1060.0,0.09723
1065.0,0.09725
1070.0,0.0972
1075.0,0.09718
1080.0,0.09721
1085.0,0.09728
1090.0,0.09727
1095.0,0.09733
1100.0,0.09752
1105.0,0.09768
1110.0,0.09784
1115.0,0.098
1120.0,0.09823
1125.0,0.09837
1130.0,0.09857
1135.0,0.09876
1140.0,0.09896
1145.0,0.09911
1150.0,0.0994
1155.0,0.09959
1160.0,0.09981
1165.0,0.10013
1170.0,0.1005
1175.0,0.10077
1180.0,0.10115
1185.0,0.1015
1190.0,0.10185
1195.0,0.10223
1200.0,0.1026
1205.0,0.10294
1210.0,0.10343
1215.0,0.10375
1220.0,0.10404
1225.0,0.1044
1230.0,0.10481
1235.0,0.10505
1240.0,0.10548
1245.0,0.10586
1250.0,0.10624
1255.0,0.10656
1260.0,0.10702
1265.0,0.10743
1270.0,0.1079
1275.0,0.10828
1280.0,0.1087
1285.0,0.10913
1290.0,0.10957
1295.0,0.10996
1300.0,0.11042
1305.0,0.11098
1310.0,0.11149
1315.0,0.11208
1320.0,0.11268
1325.0,0.11327
1330.0,0.11372
1335.0,0.11431
1340.0,0.11486
1345.0,0.11543
1350.0,0.11597
1352.5,0.11607
1353.9,0.11596
1355.4,0.11603
1356.8,0.11628
1358.2,0.11648
1359.6,0.1166
1361.0,0.11661
1362.5,0.11652
1363.9,0.11649
1365.4,0.11656
1366.8,0.11686
1368.2,0.11703
1369.7,0.11688
1371.1,0.1169
1372.6,0.11707
1374.0,0.11715
1375.5,0.11731
1377.0,0.11747
1378.4,0.11776
1379.9,0.11798
1381.4,0.11798
1382.8,0.11801
1384.3,0.11803
1385.8,0.11821
1387.3,0.11855
1388.8,0.11867
1390.3,0.11845
1391.7,0.11849
1393.2,0.11853
1394.7,0.11857
1396.2,0.1188
1397.8,0.11916
1399.3,0.11939
1400.8,0.11945
1402.3,0.11964
1403.8,0.11953
1405.3,0.1195
1406.9,0.11971
1408.4,0.11976
1409.9,0.11988
1411.5,0.12019
1413.0,0.12033
1414.5,0.1205
1416.1,0.12063
1417.6,0.12087
1419.2,0.12133
1420.7,0.12147
1422.3,0.12152
1423.9,0.12168
1425.4,0.12186
1427.0,0.12194
1428.6,0.12193
1430.2,0.1223
1431.7,0.1226
1433.3,0.12258
1434.9,0.12271
1436.5,0.12301
1438.1,0.1231
1439.7,0.12318
1441.3,0.12342
1442.9,0.12372
1444.5,0.12392
1446.1,0.12418
1447.7,0.12445
1449.3,0.12458
1451.0,0.12464
1452.6,0.12465
1454.2,0.12472
1455.9,0.12497
1457.5,0.12519
1459.1,0.12519
1460.8,0.12532
1462.4,0.1254
1464.1,0.12548
1465.7,0.1258
1467.4,0.12613
1469.1,0.12619
1470.7,0.12635
1472.4,0.12648
1474.1,0.12652
1475.8,0.12659
1477.4,0.1268
1479.1,0.12696
1480.8,0.12702
1482.5,0.12727
1484.2,0.12769
1485.9,0.12782
1487.6,0.12776
1489.3,0.12788
1491.0,0.12804
1492.8,0.12819
1494.5,0.12837
1496.2,0.12838
1497.9,0.12843
1499.7,0.1288
1501.4,0.12902
1503.2,0.12906
1504.9,0.12922
1506.6,0.12947
1508.4,0.1295
1510.2,0.12948
1511.9,0.12963
1513.7,0.12971
1515.5,0.12977
1517.2,0.12998
1519.0,0.13023
1520.8,0.13028
1522.6,0.13024
1524.4,0.13036
1526.2,0.1306
1528.0,0.13071
1529.8,0.13078
1531.6,0.13092
1533.4,0.13111
1535.2,0.13115
1537.0,0.13105
1538.9,0.13114
1540.7,0.13137
1542.5,0.13157
1544.4,0.13155
1546.2,0.13149
1548.0,0.13151
1549.9,0.13146
1551.8,0.13143
1553.6,0.13168
1555.5,0.13192
1557.4,0.13192
1559.2,0.13193
1561.1,0.13198
1563.0,0.13197
1564.9,0.13193
1566.8,0.13201
1568.7,0.13211
1570.6,0.1323
1572.5,0.13245
1574.4,0.1325
1576.3,0.13249
1578.2,0.13254
1580.1,0.13279
1582.1,0.13293
1584.0,0.1329
1585.9,0.13285
1587.9,0.13286
1589.8,0.13275
1591.8,0.13263
1593.7,0.13277
1595.7,0.13296
1597.7,0.133
1599.7,0.13304
1601.6,0.133
1603.6,0.13282
1605.6,0.13286
1607.6,0.13307
1609.6,0.13295
1611.6,0.13297
1613.6,0.13322
1615.6,0.13318
1617.6,0.13317
1619.6,0.13321
1621.7,0.13328
1623.7,0.13339
1625.7,0.13334
1627.8,0.13304
1629.8,0.13283
1631.9,0.13298
1633.9,0.13314
1636.0,0.1333
1638.1,0.13342
1640.1,0.13329
1642.2,0.13326
1644.3,0.13337
1646.4,0.13323
1648.5,0.13318
1650.6,0.13325
1652.7,0.13313
1654.8,0.13314
1656.9,0.13312
1659.0,0.13313
1661.2,0.13326
1663.3,0.13327
1665.4,0.1332
1667.6,0.13311
1669.7,0.1332
1671.9,0.13312
1674.1,0.13312
1676.2,0.13327
1678.4,0.13316
1680.6,0.13298
1682.7,0.13308
1684.9,0.13321
1687.1,0.13321
1689.3,0.13298
1691.5,0.133
1693.7,0.13324
1696.0,0.13318
1698.2,0.13305
1700.4,0.13308
1702.7,0.13307
1704.9,0.13299
1707.1,0.133
1709.4,0.13304
1711.6,0.13301
1713.9,0.13285
1716.2,0.13268
1718.5,0.13272
1720.7,0.13277
1723.0,0.1327
1725.3,0.13274
1727.6,0.13272
1729.9,0.13268
1732.2,0.13263
1734.6,0.13257
1736.9,0.13248
1739.2,0.1326
1741.6,0.13259
1743.9,0.13245
1746.2,0.13234
1748.6,0.13229
1751.0,0.13239
1753.3,0.13239
1755.7,0.13232
1758.1,0.1324
1760.5,0.1324
1762.9,0.13236
1765.3,0.13231
1767.7,0.13228
1770.1,0.13231
1772.5,0.13224
1775.0,0.1323
1777.4,0.13236
1779.8,0.13228
1782.3,0.13219
1784.7,0.13216
1787.2,0.13208
1789.7,0.13217
1792.1,0.13221
1794.6,0.13221
1797.1,0.1323
1799.6,0.13219
1802.1,0.13211
1804.6,0.13219
1807.1,0.13229
1809.7,0.13216
1812.2,0.13201
1814.7,0.13213
1817.3,0.13217
1819.8,0.13222
1822.4,0.1323
1825.0,0.13222
1827.5,0.13205
1830.1,0.13203
1832.7,0.13206
1835.3,0.13229
1837.9,0.13229
1840.5,0.13207
1843.1,0.13209
1845.8,0.13221
1848.4,0.13223
1851.0,0.13216
1853.7,0.13224
1856.3,0.13231
1859.0,0.13235
1861.7,0.13247
1864.3,0.13236
1867.0,0.13218
1869.7,0.13207
1872.4,0.13185
1875.1,0.13175
1877.9,0.13176
1880.6,0.13134
1883.3,0.13085
1886.1,0.1306
1888.8,0.13038
1891.6,0.1302
1894.3,0.12985
1897.1,0.12948
1899.9,0.1291
1902.7,0.12875
1905.5,0.1285
1908.3,0.12842
1911.1,0.12831
1913.9,0.12823
1916.7,0.12821
1919.6,0.1283
1922.4,0.1284
1925.3,0.12858
1928.2,0.12883
1931.0,0.12881
1933.9,0.12891
1936.8,0.12922
1939.7,0.12954
1942.6,0.12996
1945.5,0.13017
1948.4,0.13023
1951.4,0.13048
1954.3,0.13068
1957.3,0.13092
1960.2,0.13122
1963.2,0.13135
1966.2,0.13148
1969.2,0.13174
1972.2,0.13197
1975.2,0.13218
1978.2,0.13236
1981.2,0.13266
1984.3,0.13306
1987.3,0.13322
1990.3,0.13336
1993.4,0.13363
1996.5,0.13392
1999.6,0.13418
2002.7,0.13436
2005.8,0.13453
2008.9,0.13482
2012.0,0.13517
2015.1,0.13545
2018.3,0.13578
2021.4,0.13601
2024.6,0.13608
2027.7,0.13626
2030.9,0.13655
2034.1,0.13677
2037.3,0.13709
2040.5,0.13743
2043.7,0.13753
2046.9,0.13775
2050.2,0.13804
2053.4,0.13821
2056.7,0.13842
2060.0,0.13866
2063.2,0.13888
2066.5,0.13917
2069.8,0.13938
2073.1,0.1396
2076.5,0.1399
2079.8,0.14023
2083.1,0.14041
2086.5,0.14049
2089.9,0.14069
2093.2,0.14085
2096.6,0.14116
2100.0,0.14152
2103.4,0.14179
2106.9,0.14205
2110.3,0.14217
2113.7,0.14235
2117.2,0.14254
2120.7,0.14279
2124.1,0.14318
2127.6,0.14346
2131.1,0.1435
2134.6,0.14365
2138.1,0.14405
2141.7,0.1443
2145.2,0.14436
2148.8,0.14443
2152.4,0.14463
2155.9,0.14478
2159.5,0.14485
2163.1,0.145
2166.8,0.14493
2170.4,0.14498
2174.0,0.145
2177.7,0.14488
2181.3,0.14464
2185.0,0.14466
2188.7,0.1448
2192.4,0.14484
2196.1,0.14509
2199.9,0.14531
2203.6,0.14549
2207.4,0.14588
2211.1,0.14621
2214.9,0.14625
2218.7,0.14642
2222.5,0.14661
2226.3,0.14677
2230.2,0.14721
2234.0,0.1477
2237.9,0.14802
2241.7,0.14824
2245.6,0.14851
2249.5,0.14878
2253.4,0.14908
2257.3,0.14931
2261.3,0.14958
2265.2,0.14986
2269.2,0.1502
2273.2,0.15065
2277.2,0.15093
2281.2,0.1511
2285.2,0.15145
2289.3,0.15187
2293.3,0.15198
2297.4,0.15206
2301.5,0.15243
2305.5,0.15286
2309.7,0.15305
2313.8,0.15328
2317.9,0.15355
2322.1,0.15373
2326.2,0.15396
2330.4,0.15416
2334.6,0.15435
