Composition,
Date Added,2013-10-11
Formula,
Grain Size Description,<75.0um
Grain Size,0.0 - 75.0
Locality,
Minimum Wavelength,300
Sample Name,"EET 87503,166 <75 um"
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,Howardite ground and sieved powder for Dawn mission
Sample ID,BKR1MT243A
Original Sample ID,MT-D2M-243-A
Viewing Geometry,
Wavelength,Response
300.0,124.06
305.0,124.14
310.0,125.59
315.0,128.02
320.0,131.82
325.0,136.53
330.0,141.69
335.0,148.34
340.0,155.51
345.0,162.52
350.0,168.98
355.0,176.76
360.0,185.6
365.0,194.21
370.0,203.05
375.0,210.26
380.0,217.57
385.0,223.12
390.0,230.93
395.0,234.72
400.0,239.99
405.0,243.61
410.0,247.46
415.0,250.56
420.0,253.9
425.0,255.75
430.0,258.17
435.0,260.95
440.0,263.23
445.0,264.92
450.0,267.17
455.0,268.03
460.0,270.8
465.0,271.49
470.0,273.34
475.0,275.32
480.0,275.73
485.0,277.8
490.0,279.46
495.0,280.89
500.0,282.57
505.0,280.15
510.0,282.8
515.0,286.43
520.0,288.65
525.0,289.99
530.0,291.44
535.0,292.09
540.0,292.55
545.0,292.42
550.0,293.39
555.0,294.04
560.0,295.22
565.0,296.26
570.0,297.31
575.0,297.88
580.0,297.86
585.0,298.63
590.0,298.9
595.0,299.66
600.0,300.38
605.0,300.69
610.0,301.4
615.0,302.18
620.0,303.16
625.0,303.32
630.0,304.95
635.0,305.58
640.0,306.63
645.0,307.49
650.0,308.12
655.0,309.24
660.0,309.78
665.0,310.84
670.0,312.36
675.0,313.0
680.0,314.62
685.0,315.78
690.0,316.43
695.0,317.44
700.0,318.04
705.0,318.86
710.0,319.56
715.0,320.32
720.0,321.15
725.0,321.25
730.0,321.58
735.0,321.68
740.0,321.81
745.0,321.21
750.0,320.69
755.0,319.62
760.0,318.76
765.0,317.7
770.0,315.43
775.0,313.63
780.0,310.72
785.0,307.08
790.0,303.85
795.0,299.75
800.0,295.6
805.0,290.63
810.0,285.77
815.0,279.87
820.0,274.06
825.0,268.23
830.0,261.9
835.0,256.57
840.0,250.85
845.0,244.45
850.0,239.02
855.0,235.17
860.0,229.33
865.0,223.19
870.0,219.3
875.0,214.81
880.0,210.23
885.0,206.83
890.0,203.66
895.0,200.92
900.0,197.89
905.0,196.69
910.0,194.76
915.0,193.55
920.0,192.71
925.0,191.84
930.0,192.27
935.0,192.45
940.0,193.35
945.0,193.77
950.0,194.44
955.0,196.63
960.0,199.06
965.0,200.6
970.0,204.73
975.0,207.69
980.0,211.16
985.0,214.88
990.0,219.93
995.0,224.47
1000.0,228.3
1005.0,233.16
1010.0,239.78
1015.0,244.63
1020.0,249.56
1025.0,255.33
1030.0,260.54
1035.0,265.84
1040.0,269.76
1045.0,274.76
1050.0,278.51
1055.0,283.21
1060.0,286.65
1065.0,291.39
1070.0,296.45
1075.0,298.17
1080.0,301.78
1085.0,304.89
1090.0,308.18
1095.0,311.08
1100.0,314.09
1105.0,316.5
1110.0,317.92
1115.0,320.35
1120.0,322.87
1125.0,323.69
1130.0,325.45
1135.0,327.52
1140.0,327.58
1145.0,329.35
1150.0,330.33
1155.0,331.45
1160.0,331.86
1165.0,333.21
1170.0,332.88
1175.0,334.36
1180.0,334.49
1185.0,336.25
1190.0,336.33
1195.0,336.58
1200.0,337.78
1205.0,338.48
1210.0,339.07
1215.0,339.49
1220.0,339.63
1225.0,340.12
1230.0,340.31
1235.0,341.04
1240.0,341.92
1245.0,341.75
1250.0,342.31
1255.0,343.22
1260.0,344.18
1265.0,344.47
1270.0,344.4
1275.0,345.51
1280.0,346.31
1285.0,346.73
1290.0,347.32
1295.0,347.85
1300.0,348.33
1305.0,349.47
1310.0,349.43
1315.0,349.85
1320.0,350.3
1325.0,350.38
1330.0,351.78
1335.0,351.3
1340.0,351.92
1345.0,353.15
1350.0,353.22
1355.0,353.3
1360.0,353.29
1365.0,353.68
1370.0,354.4
1375.0,354.63
1380.0,355.15
1385.0,355.79
1390.0,355.82
1395.0,355.41
1400.0,355.06
1405.0,354.92
1410.0,354.92
1415.0,355.11
1420.0,355.02
1425.0,355.3
1430.0,355.59
1435.0,356.08
1440.0,355.89
1445.0,354.84
1450.0,353.77
1455.0,354.47
1460.0,354.03
1465.0,353.77
1470.0,353.34
1475.0,353.28
1480.0,352.34
1485.0,351.58
1490.0,350.61
1495.0,350.03
1500.0,349.08
1505.0,349.07
1510.0,348.28
1515.0,347.77
1520.0,346.21
1525.0,345.94
1530.0,344.41
1535.0,343.88
1540.0,342.62
1545.0,341.56
1550.0,339.56
1555.0,339.42
1560.0,337.64
1565.0,336.64
1570.0,335.59
1575.0,334.16
1580.0,332.04
1585.0,331.44
1590.0,330.49
1595.0,329.62
1600.0,327.8
1605.0,327.07
1610.0,324.86
1615.0,322.85
1620.0,321.67
1625.0,319.96
1630.0,318.63
1635.0,317.3
1640.0,315.38
1645.0,314.13
1650.0,312.99
1655.0,310.86
1660.0,309.39
1665.0,308.2
1670.0,306.8
1675.0,305.16
1680.0,303.56
1685.0,302.62
1690.0,300.39
1695.0,298.27
1700.0,297.6
1705.0,295.82
1710.0,294.37
1715.0,293.19
1720.0,292.37
1725.0,289.62
1730.0,288.05
1735.0,286.32
1740.0,285.97
1745.0,284.15
1750.0,282.73
1755.0,281.65
1760.0,280.53
1765.0,278.97
1770.0,277.75
1775.0,276.15
1780.0,274.76
1785.0,273.79
1790.0,272.56
1795.0,271.22
1800.0,269.63
1805.0,269.21
1810.0,267.65
1815.0,267.42
1820.0,265.98
1825.0,265.08
1830.0,263.83
1835.0,262.93
1840.0,261.77
1845.0,260.97
1850.0,260.06
1855.0,259.8
1860.0,258.88
1865.0,257.85
1870.0,257.29
1875.0,256.64
1880.0,255.57
1885.0,255.19
1890.0,254.83
1895.0,253.94
1900.0,253.31
1905.0,252.63
1910.0,251.99
1915.0,251.45
1920.0,251.12
1925.0,250.23
1930.0,249.76
1935.0,250.13
1940.0,249.59
1945.0,250.06
1950.0,249.78
1955.0,248.82
1960.0,248.6
1965.0,248.89
1970.0,248.68
1975.0,249.16
1980.0,249.51
1985.0,249.79
1990.0,249.88
