Composition,
Date Added,2006-10-11
Formula,
Grain Size Description,<45.0um
Grain Size,"(0.0, 45.0)"
Locality,
Minimum Wavelength,320
Sample Name,R16185 <45 um
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,Kornelite
References,
Resolution,4.0
Material class,Mineral
Sample Description,Spectroscopy of sulfate minerals (MFRP)
Sample ID,BKR2JB710A
Original Sample ID,JB-JLB-710-A
Viewing Geometry,unknown
Wavelength,Response
320.0,0.03272
325.0,0.03094
330.0,0.02856
335.0,0.02804
340.0,0.02702
345.0,0.02802
350.0,0.02976
355.0,0.03366
360.0,0.04016
365.0,0.05101
370.0,0.06725
375.0,0.09086
380.0,0.12293
385.0,0.16369
390.0,0.21423
395.0,0.27716
400.0,0.35295
405.0,0.41024
410.0,0.44529
415.0,0.44173
420.0,0.43498
425.0,0.4291
430.0,0.524
435.0,0.6243
440.0,0.68565
445.0,0.71206
450.0,0.72321
455.0,0.72873
460.0,0.73049
465.0,0.73287
470.0,0.73335
475.0,0.73534
480.0,0.73621
485.0,0.73739
490.0,0.73662
495.0,0.73573
500.0,0.73321
505.0,0.73168
510.0,0.72827
515.0,0.72597
520.0,0.72305
525.0,0.72189
530.0,0.72053
535.0,0.72
540.0,0.72015
545.0,0.72214
550.0,0.72406
555.0,0.72692
560.0,0.73014
565.0,0.73392
570.0,0.73909
575.0,0.74521
580.0,0.75104
585.0,0.75739
590.0,0.764
595.0,0.77175
600.0,0.77808
605.0,0.78589
610.0,0.7919
615.0,0.79854
620.0,0.80416
625.0,0.8095
630.0,0.81417
635.0,0.81751
640.0,0.81977
645.0,0.82127
650.0,0.82236
655.0,0.82129
660.0,0.82026
665.0,0.81844
670.0,0.81577
675.0,0.81216
680.0,0.80799
685.0,0.80342
690.0,0.79853
695.0,0.79278
700.0,0.78848
705.0,0.78339
710.0,0.77842
715.0,0.77359
720.0,0.76896
725.0,0.76515
730.0,0.76166
735.0,0.75853
740.0,0.75563
745.0,0.7542
750.0,0.75252
755.0,0.75174
760.0,0.7519
765.0,0.7517
770.0,0.75275
775.0,0.75421
780.0,0.75663
785.0,0.7589
790.0,0.76215
795.0,0.76537
800.0,0.76933
805.0,0.77297
810.0,0.77661
815.0,0.78281
820.0,0.78865
825.0,0.79391
830.0,0.79839
835.0,0.80417
840.0,0.8097
845.0,0.8158
850.0,0.82103
855.0,0.82667
860.0,0.83309
865.0,0.83755
870.0,0.84444
875.0,0.84978
880.0,0.85434
885.0,0.86053
890.0,0.86392
895.0,0.86936
900.0,0.8727
905.0,0.87698
910.0,0.88185
915.0,0.88456
920.0,0.88719
925.0,0.88924
930.0,0.89287
935.0,0.89444
940.0,0.89678
945.0,0.89866
950.0,0.89892
955.0,0.89982
960.0,0.89896
965.0,0.89897
970.0,0.89849
975.0,0.89975
980.0,0.90228
985.0,0.90289
990.0,0.90494
995.0,0.90494
1000.0,0.90622
1005.0,0.90568
1010.0,0.90661
1015.0,0.90836
1020.0,0.90783
1025.0,0.9087
1030.0,0.90918
1035.0,0.91018
1040.0,0.91051
1045.0,0.91151
1050.0,0.91132
1055.0,0.91227
1060.0,0.9117
1065.0,0.91411
1070.0,0.91414
1075.0,0.91378
1080.0,0.91402
1085.0,0.91589
1090.0,0.91521
1095.0,0.91562
1100.0,0.91563
1100.4,0.91566
1100.6,0.91559
1100.9,0.91551
1101.1,0.9156
1101.3,0.91569
