Composition,
Date Added,2003-10-14
Formula,
Grain Size Description,<0.0um
Grain Size,Whole Object
Locality,"Hlodufell Tuya, Iceland"
Minimum Wavelength,320
Sample Name,"Fresh rock chip of altered pillow lava, Hlodufell Tuya"
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,Silicate Glass Iron Oxide
References,
Resolution,4.0
Material class,Rock
Sample Description,"Altered pillow lava, fresh rock chip"
Sample ID,BKR1JB602F
Original Sample ID,JB-JLB-602-F
Viewing Geometry,Unknown
Wavelength,Response
320.0,0.04087
325.0,0.04287
330.0,0.0438
335.0,0.04416
340.0,0.04476
345.0,0.04594
350.0,0.04683
355.0,0.04799
360.0,0.04943
365.0,0.05073
370.0,0.05182
375.0,0.05356
380.0,0.05521
385.0,0.05678
390.0,0.05868
395.0,0.06072
400.0,0.06233
405.0,0.06398
410.0,0.0653
415.0,0.06691
420.0,0.06865
425.0,0.07049
430.0,0.07241
435.0,0.07402
440.0,0.07575
445.0,0.077
450.0,0.07799
455.0,0.07902
460.0,0.07988
465.0,0.08096
470.0,0.08174
475.0,0.08281
480.0,0.08392
485.0,0.08518
490.0,0.08661
495.0,0.08827
500.0,0.08986
505.0,0.09145
510.0,0.09326
515.0,0.09506
520.0,0.09684
525.0,0.09846
530.0,0.10034
535.0,0.10175
540.0,0.10334
545.0,0.1047
550.0,0.10616
555.0,0.10749
560.0,0.10887
565.0,0.11011
570.0,0.11128
575.0,0.11236
580.0,0.11344
585.0,0.11434
590.0,0.11523
595.0,0.11609
600.0,0.11677
605.0,0.11757
610.0,0.11818
615.0,0.11875
620.0,0.11922
625.0,0.11965
630.0,0.12006
635.0,0.12025
640.0,0.12057
645.0,0.12085
650.0,0.121
655.0,0.12133
660.0,0.12147
665.0,0.12178
670.0,0.12184
675.0,0.12201
680.0,0.12226
685.0,0.12235
690.0,0.12254
695.0,0.12265
700.0,0.12302
705.0,0.12332
710.0,0.12352
715.0,0.12377
720.0,0.12404
725.0,0.12412
730.0,0.12443
735.0,0.12454
740.0,0.12475
745.0,0.12499
750.0,0.12525
755.0,0.12551
760.0,0.12548
765.0,0.12592
770.0,0.12599
775.0,0.12604
780.0,0.12619
785.0,0.12616
790.0,0.12625
795.0,0.12654
800.0,0.12685
805.0,0.12665
810.0,0.12659
815.0,0.12658
820.0,0.12625
825.0,0.12624
830.0,0.12609
835.0,0.12564
840.0,0.12532
845.0,0.12505
850.0,0.12458
855.0,0.12402
860.0,0.1237
865.0,0.1234
870.0,0.12245
875.0,0.1214
880.0,0.1206
885.0,0.11995
890.0,0.11915
895.0,0.11801
900.0,0.11696
905.0,0.1161
910.0,0.1151
915.0,0.1139
920.0,0.11314
925.0,0.11223
930.0,0.11086
935.0,0.10956
940.0,0.10917
945.0,0.10814
950.0,0.10715
955.0,0.10626
960.0,0.10553
965.0,0.10485
970.0,0.1041
975.0,0.10367
980.0,0.10285
985.0,0.10268
990.0,0.10216
995.0,0.10192
1000.0,0.10152
1005.0,0.10148
1010.0,0.10127
1015.0,0.10156
1020.0,0.10161
1025.0,0.10176
1030.0,0.1018
1035.0,0.10191
1040.0,0.10205
1045.0,0.10245
1050.0,0.1028
1055.0,0.10334
1060.0,0.10397
1065.0,0.10455
1070.0,0.10489
1075.0,0.10563
1080.0,0.10552
1085.0,0.10627
1090.0,0.10701
1095.0,0.10789
1100.0,0.1082
1105.0,0.1089
1110.0,0.10946
1115.0,0.11044
1120.0,0.11081
1125.0,0.11148
1130.0,0.11222
1135.0,0.11273
1140.0,0.11284
1145.0,0.11366
1150.0,0.11408
1155.0,0.11454
1160.0,0.11489
1165.0,0.11527
1170.0,0.11586
1175.0,0.11611
1180.0,0.11638
1185.0,0.11672
1190.0,0.11721
1195.0,0.11752
1200.0,0.11762
1205.0,0.11813
1210.0,0.11842
1215.0,0.11905
1220.0,0.11908
1225.0,0.11928
1230.0,0.1192
1235.0,0.11932
1240.0,0.11959
1245.0,0.11953
1250.0,0.11995
1255.0,0.11988
1260.0,0.12053
1265.0,0.12052
1270.0,0.12067
1275.0,0.12075
1280.0,0.12107
1285.0,0.12141
1290.0,0.12148
1295.0,0.12199
1300.0,0.12235
1305.0,0.12261
1310.0,0.12295
1315.0,0.12313
1320.0,0.12356
1325.0,0.12394
1330.0,0.12437
1335.0,0.12436
1340.0,0.12449
1345.0,0.12471
1350.0,0.12494
1350.7,0.12495
1351.0,0.12489
1351.3,0.12492
1351.7,0.12498
1352.1,0.12496
1352.4,0.12493
1352.8,0.12487
1353.1,0.12478
1353.5,0.12484
1353.8,0.12489
1354.2,0.12494
1354.5,0.12497
1354.9,0.12494
1355.2,0.125
1355.6,0.12499
1355.9,0.12496
1356.3,0.12495
1356.7,0.12493
1357.0,0.12491
1357.4,0.125
1357.7,0.12496
1358.1,0.12486
1358.4,0.12485
1358.8,0.1249
1359.2,0.12497
1359.5,0.12498
1359.9,0.12493
1360.2,0.12489
1360.6,0.12494
1360.9,0.12498
1361.3,0.12497
1361.7,0.12493
1362.0,0.12488
1362.4,0.12493
1362.7,0.12503
1363.1,0.12505
1363.4,0.12511
1363.8,0.12508
1364.2,0.125
1364.5,0.12497
1364.9,0.12503
1365.2,0.12511
1365.6,0.12512
1365.9,0.12507
1366.3,0.12509
1366.7,0.12511
1367.0,0.12509
1367.4,0.12512
1367.8,0.12518
1368.1,0.1252
1368.5,0.12523
1368.8,0.12528
1369.2,0.12526
1369.6,0.12527
1369.9,0.12531
1370.3,0.1253
1370.7,0.12533
1371.0,0.12541
1371.4,0.12542
1371.7,0.12542
1372.1,0.1255
1372.5,0.12552
1372.8,0.1255
1373.2,0.12552
1373.6,0.12554
1373.9,0.12564
1374.3,0.12567
1374.6,0.12561
1375.0,0.1256
1375.4,0.1256
1375.7,0.12561
1376.1,0.1257
1376.5,0.12581
1376.8,0.12585
1377.2,0.12586
1377.6,0.12587
1377.9,0.12585
1378.3,0.12582
1378.7,0.12592
1379.0,0.12597
1379.4,0.12593
1379.8,0.12599
1380.1,0.12605
1380.5,0.12602
1380.9,0.12597
1381.2,0.12596
1381.6,0.12602
1382.0,0.12613
1382.3,0.12614
1382.7,0.12616
1383.1,0.12621
1383.4,0.12621
1383.8,0.12627
1384.2,0.12626
1384.6,0.12621
1384.9,0.12622
1385.3,0.12629
1385.7,0.12634
1386.0,0.12643
1386.4,0.12642
1386.8,0.12641
1387.2,0.12651
1387.5,0.12649
1387.9,0.12645
1388.3,0.12658
1388.6,0.1266
1389.0,0.12654
1389.4,0.12658
1389.8,0.12665
1390.1,0.1267
1390.5,0.12677
1390.9,0.12678
1391.2,0.12678
1391.6,0.12677
1392.0,0.12677
1392.4,0.12681
1392.7,0.12688
1393.1,0.12696
1393.5,0.12702
1393.9,0.127
1394.2,0.12697
1394.6,0.12704
1395.0,0.12712
1395.4,0.12709
1395.7,0.12703
1396.1,0.12705
1396.5,0.12708
1396.9,0.12716
1397.2,0.12724
1397.6,0.12724
1398.0,0.12724
1398.4,0.12729
1398.8,0.12731
1399.1,0.12735
1399.5,0.12746
1399.9,0.12748
1400.3,0.12742
1400.6,0.12749
1401.0,0.12763
1401.4,0.12768
1401.8,0.12765
1402.2,0.12761
1402.5,0.12756
1402.9,0.12759
1403.3,0.12769
1403.7,0.12779
1404.1,0.1278
1404.4,0.12777
1404.8,0.1277
1405.2,0.12773
1405.6,0.12789
1406.0,0.12796
1406.3,0.12795
1406.7,0.12799
1407.1,0.12809
1407.5,0.12818
1407.9,0.12821
1408.3,0.12817
1408.6,0.12816
1409.0,0.12822
1409.4,0.12826
1409.8,0.12823
1410.2,0.12818
1410.6,0.12828
1410.9,0.12847
1411.3,0.1285
1411.7,0.12838
1412.1,0.12835
1412.5,0.12846
1412.8,0.12855
1413.2,0.12856
1413.6,0.12855
1414.0,0.12854
1414.4,0.12855
1414.8,0.1286
1415.2,0.12864
1415.6,0.12874
1415.9,0.12878
1416.3,0.12884
1416.7,0.12891
1417.1,0.12895
1417.5,0.12891
1417.9,0.12889
1418.3,0.12893
1418.7,0.12897
1419.0,0.12905
1419.4,0.12909
1419.8,0.12908
1420.2,0.12915
1420.6,0.12923
1421.0,0.12926
1421.4,0.12922
1421.8,0.12919
1422.2,0.12928
1422.5,0.12943
1422.9,0.12941
1423.3,0.1294
1423.7,0.12947
1424.1,0.12947
1424.5,0.1295
1424.9,0.12958
1425.3,0.12967
1425.7,0.12969
1426.1,0.1297
1426.5,0.1297
1426.8,0.12975
1427.2,0.12975
1427.6,0.1298
1428.0,0.1299
1428.4,0.12998
1428.8,0.13
1429.2,0.13
1429.6,0.13002
1430.0,0.13012
1430.4,0.13015
1430.8,0.1301
1431.2,0.13019
1431.6,0.13029
1432.0,0.13033
1432.4,0.13032
1432.8,0.13029
1433.2,0.13032
1433.6,0.13041
1433.9,0.13047
1434.3,0.13054
1434.8,0.13058
1435.1,0.13059
1435.5,0.1306
1435.9,0.13066
1436.3,0.13063
1436.7,0.1307
1437.1,0.13082
1437.5,0.13086
1437.9,0.13085
1438.3,0.13088
1438.7,0.13092
1439.1,0.13097
1439.5,0.131
1439.9,0.13104
1440.3,0.13113
1440.7,0.13117
1441.1,0.13116
1441.5,0.13116
1441.9,0.13121
1442.3,0.13126
1442.7,0.1313
1443.1,0.13132
1443.5,0.13132
1443.9,0.13141
1444.3,0.13151
1444.7,0.13157
1445.1,0.13151
1445.6,0.13145
1445.9,0.13158
1446.3,0.1317
1446.8,0.13166
1447.2,0.13163
1447.6,0.13167
1448.0,0.13173
1448.4,0.13185
1448.8,0.1319
1449.2,0.13193
1449.6,0.13197
1450.0,0.132
1450.4,0.13203
1450.8,0.13209
1451.2,0.13215
1451.6,0.13222
1452.0,0.13222
1452.4,0.13225
1452.8,0.13234
1453.2,0.13231
1453.7,0.13229
1454.1,0.13234
1454.5,0.13238
1454.9,0.1324
1455.3,0.13249
1455.7,0.13251
1456.1,0.13252
1456.5,0.13258
1456.9,0.13262
1457.3,0.13261
1457.7,0.1326
1458.2,0.13263
1458.6,0.13273
1459.0,0.13277
1459.4,0.13275
1459.8,0.1328
1460.2,0.13285
1460.6,0.13293
1461.0,0.13297
1461.4,0.13293
1461.8,0.13297
1462.3,0.13302
1462.7,0.1331
1463.1,0.13322
1463.5,0.13319
1463.9,0.13317
1464.3,0.13321
1464.7,0.13324
1465.2,0.13335
1465.6,0.13341
1466.0,0.13343
1466.4,0.13347
1466.8,0.13349
1467.2,0.13357
1467.6,0.13359
1468.1,0.13353
1468.5,0.13361
1468.9,0.1337
1469.3,0.13373
1469.7,0.1338
1470.1,0.13379
1470.6,0.1338
1471.0,0.13385
1471.4,0.13393
1471.8,0.13392
1472.2,0.13392
1472.6,0.13402
1473.1,0.13401
1473.5,0.13401
1473.9,0.13408
1474.3,0.1341
1474.7,0.13411
1475.2,0.13421
1475.6,0.13425
1476.0,0.13419
1476.4,0.13429
1476.8,0.13439
1477.3,0.1344
1477.7,0.13436
1478.1,0.13432
1478.5,0.1344
1478.9,0.13449
1479.4,0.1345
1479.8,0.13455
1480.2,0.13462
1480.6,0.13464
1481.1,0.13469
1481.5,0.13475
1481.9,0.13478
1482.3,0.13481
1482.8,0.13484
1483.2,0.13491
1483.6,0.13492
1484.0,0.13489
1484.4,0.13499
1484.9,0.13505
1485.3,0.13503
1485.7,0.13499
1486.2,0.13505
1486.6,0.13515
1487.0,0.13522
1487.4,0.13531
1487.9,0.13533
1488.3,0.13534
1488.7,0.13537
1489.1,0.13547
1489.6,0.13548
1490.0,0.13546
1490.4,0.1355
1490.8,0.1355
1491.3,0.13554
1491.7,0.1356
1492.1,0.1356
1492.6,0.1356
1493.0,0.13568
1493.4,0.13574
1493.9,0.13575
1494.3,0.13582
1494.7,0.13583
1495.2,0.13584
1495.6,0.13589
1496.0,0.13587
1496.4,0.1359
1496.9,0.13598
1497.3,0.13604
1497.7,0.13606
1498.2,0.13605
1498.6,0.13609
1499.0,0.13612
1499.5,0.13614
1499.9,0.13622
1500.3,0.13627
1500.8,0.13624
1501.2,0.1363
1501.7,0.13636
1502.1,0.13635
1502.5,0.13642
1502.9,0.13648
1503.4,0.13654
1503.8,0.13655
1504.3,0.13656
1504.7,0.13654
1505.1,0.13651
1505.6,0.13656
1506.0,0.13662
1506.4,0.13669
1506.9,0.13674
1507.3,0.13682
1507.8,0.13688
