Composition,
Date Added,2009-09-18
Formula,
Grain Size Description,<0.2um
Grain Size,(0.0 - 0.2)
Locality,"Cameron, Arizona"
Minimum Wavelength,280
Sample Name,Beidellite sample #38 purified by Will Gates >125 um
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,Beidellite Ca-saturated
References,
Resolution,4.0
Material class,Mineral
Sample Description,Spectroscopy of clay minerals
Sample ID,BKR1JB923B
Original Sample ID,JB-JLB-923-B
Viewing Geometry,Unknown
Wavelength,Response
280.0,0.12922
285.0,0.07913
290.0,0.06561
295.0,0.06581
300.0,0.0715
305.0,0.08004
310.0,0.09311
315.0,0.10884
320.0,0.12665
325.0,0.14504
330.0,0.16301
335.0,0.18218
340.0,0.2011
345.0,0.21843
350.0,0.23477
355.0,0.24893
360.0,0.25811
365.0,0.25935
370.0,0.2652
375.0,0.28014
380.0,0.29709
385.0,0.3146
390.0,0.33178
395.0,0.34767
400.0,0.36161
405.0,0.37474
410.0,0.38729
415.0,0.39797
420.0,0.40756
425.0,0.41487
430.0,0.41936
435.0,0.4233
440.0,0.42285
445.0,0.42324
450.0,0.43528
455.0,0.45303
460.0,0.46702
465.0,0.47651
470.0,0.4844
475.0,0.49104
480.0,0.49651
485.0,0.50073
490.0,0.50365
495.0,0.50327
500.0,0.50994
505.0,0.51435
510.0,0.51939
515.0,0.52331
520.0,0.52753
525.0,0.53405
530.0,0.54134
535.0,0.54806
540.0,0.5528
545.0,0.55689
550.0,0.56071
555.0,0.56485
560.0,0.5683
565.0,0.57082
570.0,0.57272
575.0,0.5736
580.0,0.5747
585.0,0.57485
590.0,0.57492
595.0,0.575
600.0,0.57509
605.0,0.575
610.0,0.57486
615.0,0.57523
620.0,0.57567
625.0,0.57587
630.0,0.57718
635.0,0.57817
640.0,0.57973
645.0,0.58126
650.0,0.58413
655.0,0.5855
660.0,0.58827
665.0,0.5915
670.0,0.59446
675.0,0.59805
680.0,0.60004
685.0,0.60295
690.0,0.6051
695.0,0.60693
700.0,0.60823
705.0,0.60926
710.0,0.61022
715.0,0.61145
720.0,0.61189
725.0,0.61294
730.0,0.61315
735.0,0.61408
740.0,0.61509
745.0,0.61553
750.0,0.61611
755.0,0.61653
760.0,0.61789
765.0,0.61872
770.0,0.61935
775.0,0.62053
780.0,0.6222
785.0,0.62277
790.0,0.62479
795.0,0.62627
800.0,0.62681
805.0,0.62846
810.0,0.62958
815.0,0.63014
820.0,0.6303
825.0,0.63151
830.0,0.63262
835.0,0.63185
840.0,0.63223
845.0,0.63118
850.0,0.63268
855.0,0.63086
860.0,0.63082
865.0,0.62905
870.0,0.62928
875.0,0.62853
880.0,0.62668
885.0,0.62571
890.0,0.62812
895.0,0.62751
900.0,0.62665
905.0,0.62655
910.0,0.62626
915.0,0.62705
920.0,0.62891
925.0,0.62684
930.0,0.62884
935.0,0.62736
940.0,0.62767
945.0,0.62683
950.0,0.62658
955.0,0.62509
960.0,0.62415
965.0,0.62338
970.0,0.62421
975.0,0.62517
980.0,0.62674
985.0,0.627
990.0,0.62859
995.0,0.62814
1000.0,0.62897
1005.0,0.62889
1010.0,0.62979
1015.0,0.6299
1020.0,0.62937
1025.0,0.63103
1030.0,0.63043
1035.0,0.63103
1040.0,0.63056
1045.0,0.63091
1050.0,0.63108
1055.0,0.63109
1060.0,0.63113
1065.0,0.63216
1070.0,0.63219
1075.0,0.63189
1080.0,0.63197
1085.0,0.63284
1090.0,0.63274
1095.0,0.6321
1100.0,0.63307
1100.4,0.63302
1100.6,0.63301
1100.9,0.63316
1101.1,0.63314
1101.3,0.63298
1101.6,0.63295
1101.8,0.6331
1102.0,0.63324
1102.3,0.63341
1102.5,0.63343
1102.7,0.63339
1103.0,0.63341
1103.2,0.63345
1103.4,0.6335
1103.7,0.63337
1103.9,0.63331
1104.2,0.63328
1104.4,0.63313
1104.6,0.63329
1104.8,0.63342
1105.1,0.63327
1105.3,0.63327
1105.6,0.63349
1105.8,0.6336
1106.0,0.63362
1106.3,0.63349
1106.5,0.63362
1106.7,0.63366
1107.0,0.63344
1107.2,0.63329
1107.4,0.63316
1107.7,0.63332
1107.9,0.63345
1108.2,0.63338
