Composition,
Date Added,1997-07-25
Formula,
Grain Size Description,<75.0um
Grain Size,25.0 - 75.0
Locality,
Minimum Wavelength,300
Sample Name,Alunite 
Maximum Wavelength,25920
Database of Origin,ReLab
Other Information,
References,
Resolution,9.0
Material Class,Mineral
Sample Description,Wet  Crystalline to massive hand-sample purchased from Ward's. 
Sample ID,F1CC08B
Original Sample ID,CC-JFM-008-B
Viewing Geometry,
Wavelength,Response
300.0,241.77
305.0,257.51
310.0,278.12
315.0,297.8
320.0,320.89
325.0,343.37
330.0,365.33
335.0,388.46
340.0,409.66
345.0,430.03
350.0,451.02
355.0,469.58
360.0,487.82
365.0,504.84
370.0,519.23
375.0,533.12
380.0,546.99
385.0,558.2
390.0,570.31
395.0,581.1
400.0,587.25
405.0,595.72
410.0,599.53
415.0,604.92
420.0,609.93
425.0,616.93
430.0,621.07
435.0,625.3
440.0,630.22
445.0,635.57
450.0,638.55
455.0,642.69
460.0,646.45
465.0,649.3
470.0,652.46
475.0,656.05
480.0,660.14
485.0,664.02
490.0,668.96
495.0,673.67
500.0,679.16
505.0,684.37
510.0,689.03
515.0,694.62
520.0,700.28
525.0,707.03
530.0,717.02
535.0,721.74
540.0,728.21
545.0,734.47
550.0,740.79
555.0,748.49
560.0,754.59
565.0,759.37
570.0,765.14
575.0,770.94
580.0,776.68
585.0,782.52
590.0,788.67
595.0,792.62
600.0,797.52
605.0,802.2
610.0,805.88
615.0,809.41
620.0,812.84
625.0,816.31
630.0,819.02
635.0,822.15
640.0,825.2
645.0,827.52
650.0,830.53
655.0,831.9
660.0,834.9
665.0,837.57
670.0,839.06
675.0,841.72
680.0,844.8
685.0,846.71
690.0,848.27
695.0,850.68
700.0,852.42
705.0,848.85
710.0,851.87
715.0,852.44
720.0,855.01
725.0,856.68
730.0,856.82
735.0,858.39
740.0,859.18
745.0,860.48
750.0,859.7
755.0,860.35
760.0,864.63
765.0,864.63
770.0,864.2
775.0,864.6
780.0,865.62
785.0,865.75
790.0,867.28
795.0,866.43
800.0,867.43
805.0,868.54
810.0,869.47
815.0,871.88
820.0,870.72
825.0,872.32
830.0,870.02
835.0,871.78
840.0,871.39
845.0,871.61
850.0,871.48
855.0,872.59
860.0,871.56
865.0,870.24
870.0,870.08
875.0,871.27
880.0,871.09
885.0,869.56
890.0,870.59
895.0,870.08
900.0,869.74
905.0,869.64
910.0,869.37
915.0,869.77
920.0,872.46
925.0,872.62
930.0,872.91
935.0,874.15
940.0,875.17
945.0,872.97
950.0,873.14
955.0,873.65
960.0,873.48
965.0,871.97
970.0,870.27
975.0,868.08
980.0,865.11
985.0,860.63
990.0,856.22
995.0,852.79
1000.0,851.21
1005.0,853.25
1010.0,855.39
1015.0,861.36
1020.0,865.58
1025.0,874.81
1030.0,878.99
1035.0,881.24
1040.0,882.72
1045.0,884.29
1050.0,884.98
1055.0,885.68
1060.0,885.35
1065.0,886.73
1070.0,887.29
1075.0,887.86
1080.0,888.26
1085.0,888.4
1090.0,887.71
1095.0,888.07
1100.0,888.72
1105.0,887.97
1110.0,888.79
1115.0,888.41
1120.0,889.7
1125.0,890.65
1130.0,892.05
1135.0,893.27
1140.0,893.43
1145.0,893.74
1150.0,892.95
1155.0,892.11
1160.0,892.48
1165.0,891.61
1170.0,891.78
1175.0,890.99
1180.0,890.75
1185.0,890.76
1190.0,889.94
1195.0,888.22
1200.0,888.21
1205.0,885.34
1210.0,883.51
1215.0,880.92
1220.0,876.73
1225.0,870.36
1230.0,865.52
1235.0,862.12
1240.0,859.13
1245.0,855.93
1250.0,852.39
1255.0,845.73
1260.0,831.6
1265.0,815.85
1270.0,815.8
1275.0,827.13
1280.0,841.1
1285.0,855.51
1290.0,867.68
1295.0,871.98
1300.0,872.57
1305.0,872.71
1310.0,871.24
1315.0,865.64
1320.0,854.75
1325.0,853.7
1330.0,850.29
1335.0,834.27
1340.0,829.88
1345.0,834.02
1350.0,833.59
1355.0,832.5
1360.0,834.22
1365.0,840.11
1370.0,846.81
1375.0,842.28
1380.0,842.16
1385.0,834.01
1390.0,830.19
1395.0,821.65
1400.0,811.49
