Composition,
Date Added,2000-12-26
Formula,
Grain Size Description,<500.0um
Grain Size,100.0 - 500.0
Locality,
Minimum Wavelength,320
Sample Name,SF3-3 
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,"SFA3-1 (047), SFA3-2 (048), SFA3-3 (049)"
References,Brown Univ.
Resolution,10.0
Material Class,Rock
Sample Description,50% crystalline   
Sample ID,C1MM49
Original Sample ID,MM-MJR-049
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
320.0,40.63
330.0,41.56
340.0,42.6
350.0,43.79
360.0,45.66
370.0,47.98
380.0,49.78
390.0,51.88
400.0,54.27
410.0,55.66
420.0,56.6
430.0,57.58
440.0,58.04
450.0,58.29
460.0,59.05
470.0,59.81
480.0,60.78
490.0,61.49
500.0,62.13
510.0,61.98
520.0,63.29
530.0,64.12
540.0,64.56
550.0,64.46
560.0,64.67
570.0,64.64
580.0,64.44
590.0,64.13
600.0,63.85
610.0,63.74
620.0,63.55
630.0,63.27
640.0,62.93
650.0,62.38
660.0,61.81
670.0,61.19
680.0,60.58
690.0,59.95
700.0,59.44
710.0,58.94
720.0,58.59
730.0,58.11
740.0,57.82
750.0,57.5
760.0,57.11
770.0,56.83
780.0,56.6
790.0,56.28
800.0,56.3
810.0,55.97
820.0,55.8
830.0,55.52
840.0,55.23
850.0,54.83
860.0,54.23
870.0,53.64
880.0,53.05
890.0,52.05
900.0,51.45
910.0,50.57
920.0,49.8
930.0,48.91
940.0,48.28
950.0,47.33
960.0,46.42
970.0,45.56
980.0,45.25
990.0,44.83
1000.0,44.61
1010.0,44.53
1020.0,44.55
1030.0,44.44
1040.0,44.63
1050.0,44.87
1060.0,45.4
1070.0,45.87
1080.0,46.47
1090.0,47.1
1100.0,47.72
1110.0,48.29
1120.0,49.06
1130.0,49.45
1140.0,49.97
1150.0,50.42
1160.0,50.89
1170.0,50.95
1180.0,51.06
1190.0,51.2
1200.0,51.28
1210.0,51.03
1220.0,51.09
1230.0,51.19
1240.0,51.0
1250.0,50.93
1260.0,51.19
1270.0,51.2
1280.0,51.36
1290.0,51.56
1300.0,51.68
1310.0,51.68
1320.0,52.07
1330.0,52.13
1340.0,52.18
1350.0,52.37
1360.0,52.39
1370.0,52.33
1380.0,52.19
1390.0,52.36
1400.0,52.23
1410.0,52.29
1420.0,52.21
1430.0,52.57
1440.0,52.69
1450.0,52.85
1460.0,52.98
1470.0,52.96
1480.0,52.8
1490.0,52.83
1500.0,52.83
1510.0,52.74
1520.0,52.94
1530.0,52.96
1540.0,52.97
1550.0,53.1
1560.0,53.27
1570.0,53.32
1580.0,53.5
1590.0,53.67
1600.0,53.67
1610.0,53.66
1620.0,53.77
1630.0,53.85
1640.0,53.69
1650.0,53.38
1660.0,53.27
1670.0,53.05
1680.0,52.82
1690.0,52.78
1700.0,52.75
1710.0,52.56
1720.0,52.53
1730.0,52.37
1740.0,52.23
1750.0,52.01
1760.0,52.11
1770.0,52.03
1780.0,51.9
1790.0,51.78
1800.0,51.61
1810.0,51.59
1820.0,51.52
1830.0,51.48
1840.0,51.44
1850.0,51.22
1860.0,51.04
1870.0,50.98
1880.0,50.55
1890.0,50.15
1900.0,49.94
1910.0,49.58
1920.0,49.21
1930.0,49.04
1940.0,49.03
1950.0,48.96
1960.0,48.85
1970.0,48.76
1980.0,48.79
1990.0,48.61
2000.0,48.33
2010.0,48.15
2020.0,48.0
2030.0,47.74
2040.0,47.62
2050.0,47.43
2060.0,47.24
2070.0,47.11
2080.0,47.27
2090.0,47.43
2100.0,47.65
2110.0,47.86
2120.0,47.92
2130.0,47.77
2140.0,47.42
2150.0,47.18
2160.0,47.0
2170.0,46.68
2180.0,46.52
2190.0,46.44
2200.0,46.34
2210.0,46.21
2220.0,46.22
2230.0,46.03
2240.0,45.88
2250.0,45.82
2260.0,45.9
2270.0,45.86
2280.0,45.72
2290.0,45.52
2300.0,45.44
2310.0,45.28
2320.0,45.18
2330.0,45.01
2340.0,45.04
2350.0,44.92
2360.0,44.86
2370.0,44.81
2380.0,44.82
2390.0,44.81
2400.0,45.14
2410.0,45.18
2420.0,45.04
2430.0,45.03
2440.0,45.14
2450.0,44.89
2460.0,44.83
2470.0,44.96
2480.0,44.67
2490.0,44.1
2500.0,43.72
2510.0,43.32
2520.0,42.9
2530.0,42.81
2540.0,42.83
2550.0,42.68
