Composition,
Date Added,1992-12-02
Formula,
Grain Size Description,<0.0um
Grain Size,Unknown
Locality,
Minimum Wavelength,300
Sample Name,"600% FeCl3,pH=5 "
Maximum Wavelength,2700
Database of Origin,RELAB
Other Information,"600% FeCl3, pH=5, Clay Montmorillonite"
References,
Resolution,5.0
Material class,Mineral
Sample Description,
Sample ID,C1JB35
Original Sample ID,JB-CMP-035
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.02939
305.0,0.02771
310.0,0.02602
315.0,0.02495
320.0,0.02442
325.0,0.02465
330.0,0.02539
335.0,0.02515
340.0,0.02531
345.0,0.02557
350.0,0.02584
355.0,0.02644
360.0,0.02718
365.0,0.02828
370.0,0.02934
375.0,0.03109
380.0,0.03298
385.0,0.03535
390.0,0.0378
395.0,0.04071
400.0,0.04382
405.0,0.04728
410.0,0.05042
415.0,0.05411
420.0,0.05786
425.0,0.06228
430.0,0.06706
435.0,0.07227
440.0,0.07812
445.0,0.08403
450.0,0.08956
455.0,0.09536
460.0,0.10025
465.0,0.10499
470.0,0.10953
475.0,0.11409
480.0,0.1192
485.0,0.12563
490.0,0.13211
495.0,0.13945
500.0,0.14789
505.0,0.15768
510.0,0.16824
515.0,0.18033
520.0,0.1929
525.0,0.20715
530.0,0.22102
535.0,0.23512
540.0,0.25067
545.0,0.26634
550.0,0.28278
555.0,0.29961
560.0,0.31682
565.0,0.33478
570.0,0.35393
575.0,0.37301
580.0,0.39227
585.0,0.41044
590.0,0.42943
595.0,0.44748
600.0,0.46611
605.0,0.48226
610.0,0.49762
615.0,0.51375
620.0,0.52805
625.0,0.5421
630.0,0.55513
635.0,0.567
640.0,0.57833
645.0,0.58847
650.0,0.59623
655.0,0.60648
660.0,0.61392
665.0,0.62435
670.0,0.6305
675.0,0.63645
680.0,0.64505
685.0,0.65178
690.0,0.6589
695.0,0.66586
700.0,0.67322
705.0,0.67984
710.0,0.68548
715.0,0.68966
720.0,0.69622
725.0,0.70081
730.0,0.70624
735.0,0.70834
740.0,0.71246
745.0,0.71735
750.0,0.7211
755.0,0.72274
760.0,0.72438
765.0,0.72515
770.0,0.72712
775.0,0.72713
780.0,0.72742
785.0,0.72662
790.0,0.72662
795.0,0.72632
800.0,0.7246
805.0,0.72314
810.0,0.72174
815.0,0.71941
820.0,0.71878
825.0,0.71521
830.0,0.71493
835.0,0.71407
840.0,0.71199
845.0,0.70957
850.0,0.70848
855.0,0.7038
860.0,0.70418
865.0,0.70259
870.0,0.70175
875.0,0.70007
880.0,0.69896
885.0,0.69832
890.0,0.69718
895.0,0.69589
900.0,0.69545
905.0,0.69465
910.0,0.69555
915.0,0.6946
920.0,0.69486
925.0,0.69477
930.0,0.69558
935.0,0.69495
940.0,0.69744
945.0,0.69701
950.0,0.69643
955.0,0.69685
960.0,0.69749
965.0,0.69819
970.0,0.69948
975.0,0.70142
980.0,0.70297
985.0,0.70431
990.0,0.70645
995.0,0.70757
1000.0,0.71085
1005.0,0.71037
1010.0,0.71217
1015.0,0.71485
1020.0,0.71689
1025.0,0.71873
1030.0,0.7207
1035.0,0.72376
1040.0,0.72609
1045.0,0.72843
1050.0,0.73115
1055.0,0.73322
1060.0,0.73702
1065.0,0.73909
1070.0,0.7418
1075.0,0.74365
1080.0,0.74754
1085.0,0.7489
1090.0,0.75273
1095.0,0.75628
1100.0,0.75847
1105.0,0.76121
1110.0,0.76428
1115.0,0.76783
1120.0,0.77007
1125.0,0.77308
1130.0,0.77638
1135.0,0.77775
1140.0,0.77946
1145.0,0.782
1150.0,0.78353
1155.0,0.78813
1160.0,0.79022
1165.0,0.7942
1170.0,0.79836
1175.0,0.80119
1180.0,0.80284
1185.0,0.80668
1190.0,0.80856
1195.0,0.81313
1200.0,0.81656
1205.0,0.81786
1210.0,0.8215
1215.0,0.82366
1220.0,0.8267
1225.0,0.83039
1230.0,0.83324
