Composition,
Date Added,1999-02-19
Formula,
Grain Size Description,<1000.0um
Grain Size,0.0 - 1000.0
Locality,
Minimum Wavelength,320
Sample Name,"Y-75011,107 "
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,
References,
Resolution,10.0
Material Class,Rock
Sample Description,Grain size is an estimate.  
Sample ID,C1TB08
Original Sample ID,TB-RPB-008
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
320.0,142.76
330.0,148.84
340.0,155.56
350.0,162.22
360.0,170.14
370.0,177.96
380.0,184.22
390.0,188.91
400.0,192.85
410.0,194.5
420.0,197.27
430.0,202.1
440.0,209.01
450.0,213.75
460.0,216.62
470.0,217.99
480.0,219.84
490.0,221.11
500.0,222.9
510.0,222.3
520.0,226.6
530.0,228.22
540.0,229.77
550.0,230.02
560.0,231.72
570.0,232.01
580.0,232.79
590.0,232.64
600.0,233.16
610.0,233.38
620.0,234.43
630.0,234.14
640.0,235.37
650.0,236.43
660.0,237.22
670.0,238.17
680.0,238.95
690.0,240.06
700.0,242.26
710.0,243.24
720.0,244.64
730.0,245.8
740.0,247.03
750.0,246.2
760.0,244.71
770.0,243.22
780.0,239.67
790.0,235.17
800.0,231.35
810.0,224.7
820.0,218.79
830.0,212.89
840.0,206.85
850.0,201.29
860.0,195.51
870.0,190.33
880.0,187.39
890.0,183.42
900.0,180.78
910.0,178.41
920.0,176.73
930.0,175.24
940.0,174.31
950.0,173.97
960.0,174.31
970.0,175.06
980.0,176.01
990.0,178.14
1000.0,180.38
1010.0,182.85
1020.0,185.08
1030.0,187.87
1040.0,190.75
1050.0,193.23
1060.0,195.5
1070.0,198.19
1080.0,200.55
1090.0,202.73
1100.0,204.97
1110.0,207.75
1120.0,209.22
1130.0,210.43
1140.0,211.99
1150.0,212.32
1160.0,213.31
1170.0,213.07
1180.0,213.16
1190.0,213.86
1200.0,213.67
1210.0,213.2
1220.0,212.92
1230.0,212.7
1240.0,212.89
1250.0,213.02
1260.0,213.01
1270.0,213.69
1280.0,213.82
1290.0,214.56
1300.0,215.86
1310.0,216.77
1320.0,217.52
1330.0,218.83
1340.0,219.96
1350.0,220.32
1360.0,220.8
1370.0,222.41
1380.0,224.08
1390.0,225.0
1400.0,225.8
1410.0,226.68
1420.0,227.52
1430.0,228.8
1440.0,229.53
1450.0,229.93
1460.0,230.77
1470.0,230.76
1480.0,230.54
1490.0,230.72
1500.0,230.15
1510.0,230.22
1520.0,229.89
1530.0,229.0
1540.0,228.01
1550.0,226.92
1560.0,225.63
1570.0,224.45
1580.0,222.89
1590.0,221.44
1600.0,219.23
1610.0,217.57
1620.0,215.76
1630.0,213.42
1640.0,211.95
1650.0,210.08
1660.0,207.78
1670.0,208.2
1680.0,205.37
1690.0,203.92
1700.0,203.4
1710.0,201.0
1720.0,198.74
1730.0,196.83
1740.0,194.83
1750.0,193.2
1760.0,191.08
1770.0,189.2
1780.0,187.55
1790.0,185.94
1800.0,184.99
1810.0,183.69
1820.0,182.72
1830.0,181.0
1840.0,180.16
1850.0,179.33
1860.0,178.3
1870.0,177.06
1880.0,177.12
1890.0,175.29
1900.0,175.02
1910.0,174.39
1920.0,173.67
1930.0,172.64
1940.0,171.99
1950.0,171.45
1960.0,171.13
1970.0,171.06
1980.0,170.7
1990.0,170.18
2000.0,169.76
2010.0,169.6
2020.0,169.23
2030.0,169.77
2040.0,169.9
2050.0,170.09
2060.0,169.3
2070.0,169.85
2080.0,170.67
2090.0,171.07
2100.0,171.88
2110.0,171.62
2120.0,172.35
2130.0,172.96
2140.0,173.66
2150.0,174.69
2160.0,174.82
2170.0,175.98
2180.0,176.7
2190.0,178.21
2200.0,179.52
2210.0,179.57
2220.0,180.9
2230.0,181.82
2240.0,182.95
2250.0,183.66
2260.0,185.04
2270.0,186.02
2280.0,187.28
2290.0,188.56
2300.0,189.75
2310.0,190.45
2320.0,191.38
2330.0,192.04
2340.0,192.77
2350.0,193.8
2360.0,194.48
2370.0,195.83
2380.0,196.47
2390.0,197.83
2400.0,198.52
2410.0,199.53
2420.0,200.46
2430.0,202.26
2440.0,203.3
2450.0,204.28
2460.0,205.33
2470.0,206.12
2480.0,208.16
2490.0,208.57
2500.0,209.95
2510.0,210.41
2520.0,210.9
2530.0,211.99
2540.0,212.58
2550.0,214.27
