Composition,
Date Added,2011-08-19
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,280
Sample Name,Crushed glass beads <45 um crushed using a stainless steel grinder
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Glass
Sample Description,For Mg-Spinel (ALHA81005/M3 OOS analog) synthesis
Sample ID,BKR1SP035A
Original Sample ID,SP-AHT-035-A
Viewing Geometry,
Wavelength,Response
280.0,768.93
285.0,650.79
290.0,622.81
295.0,631.15
300.0,648.7
305.0,668.6
310.0,688.98
315.0,707.24
320.0,722.55
325.0,735.56
330.0,746.23
335.0,755.09
340.0,760.87
345.0,765.87
350.0,770.47
355.0,769.85
360.0,779.03
365.0,779.26
370.0,783.0
375.0,785.08
380.0,787.2
385.0,790.46
390.0,789.14
395.0,788.96
400.0,792.11
405.0,792.81
410.0,795.93
415.0,796.1
420.0,798.56
425.0,800.37
430.0,803.75
435.0,803.09
440.0,807.02
445.0,806.82
450.0,807.57
455.0,809.0
460.0,810.58
465.0,810.57
470.0,811.81
475.0,814.36
480.0,814.11
485.0,813.13
490.0,815.02
495.0,814.94
500.0,815.69
505.0,816.3
510.0,817.57
515.0,817.2
520.0,816.69
525.0,816.3
530.0,816.81
535.0,817.41
540.0,818.78
545.0,818.84
550.0,819.95
555.0,820.07
560.0,821.36
565.0,821.98
570.0,821.93
575.0,822.01
580.0,822.27
585.0,823.38
590.0,823.08
595.0,823.8
600.0,825.09
605.0,826.6
610.0,825.9
615.0,826.87
620.0,827.46
625.0,828.01
630.0,827.81
635.0,829.03
640.0,829.25
645.0,829.24
650.0,829.79
655.0,830.61
660.0,830.86
665.0,831.99
670.0,833.47
675.0,834.67
680.0,836.5
685.0,836.83
690.0,837.81
695.0,837.72
700.0,838.83
705.0,839.11
710.0,838.19
715.0,838.43
720.0,838.14
725.0,838.8
730.0,838.88
735.0,838.31
740.0,838.44
745.0,839.07
750.0,838.51
755.0,839.61
760.0,837.88
765.0,839.56
770.0,839.15
775.0,840.95
780.0,839.18
785.0,840.59
790.0,839.52
795.0,839.99
800.0,840.52
805.0,840.51
810.0,840.24
815.0,840.45
820.0,840.6
825.0,840.3
830.0,840.16
835.0,840.18
840.0,839.8
845.0,840.2
850.0,840.11
855.0,838.94
860.0,839.18
865.0,838.71
870.0,838.97
875.0,838.42
880.0,839.12
885.0,838.75
890.0,839.08
895.0,838.87
900.0,839.35
905.0,839.31
910.0,839.67
915.0,839.77
920.0,842.8
925.0,839.75
930.0,842.41
935.0,839.01
940.0,842.5
945.0,839.94
950.0,840.9
955.0,840.47
960.0,841.98
965.0,841.12
970.0,842.43
975.0,840.92
980.0,842.82
985.0,840.82
990.0,842.47
995.0,841.72
1000.0,841.21
1005.0,840.75
1010.0,840.35
1015.0,840.9
1020.0,841.93
1025.0,841.13
1030.0,840.23
1035.0,840.86
1040.0,841.6
1045.0,839.17
1050.0,842.54
1055.0,841.45
1060.0,841.78
1065.0,841.38
1070.0,841.91
1075.0,841.97
1080.0,843.25
1085.0,842.8
1090.0,842.1
1095.0,843.44
1100.0,843.5
1105.0,842.65
1110.0,843.81
1115.0,842.69
1120.0,844.59
1125.0,842.87
1130.0,843.81
1135.0,842.72
1140.0,843.87
1145.0,843.53
1150.0,844.45
1155.0,844.38
1160.0,843.94
1165.0,843.62
1170.0,844.03
1175.0,843.82
1180.0,843.96
1185.0,844.28
1190.0,843.55
1195.0,844.14
1200.0,844.0
1205.0,844.26
1210.0,845.1
1215.0,845.34
1220.0,845.28
1225.0,843.5
1230.0,844.8
1235.0,844.75
1240.0,845.59
1245.0,844.24
1250.0,846.24
1255.0,845.21
1260.0,844.99
1265.0,845.34
1270.0,846.18
1275.0,845.55
1280.0,846.23
1285.0,844.78
1290.0,846.02
1295.0,844.04
1300.0,846.16
1305.0,844.84
1310.0,845.44
1315.0,845.59
1320.0,845.43
1325.0,846.04
1330.0,846.19
1335.0,846.22
1340.0,846.43
